depth_m;density_kgm3
0.01;340.61
0.02;340.61
0.03;340.61
0.04;340.61
0.05;340.61
0.06;340.61
0.07;340.61
0.08;340.61
0.09;340.61
0.1;340.61
0.11;340.61
0.12;340.61
0.13;340.61
0.14;340.61
0.15;340.61
0.16;340.61
0.17;340.61
0.18;340.61
0.19;340.61
0.2;340.61
0.21;340.61
0.22;340.61
0.23;340.61
0.24;340.61
0.25;340.61
0.26;340.61
0.27;340.61
0.28;340.61
0.29;340.61
0.3;340.61
0.31;340.61
0.32;340.61
0.33;340.61
0.34;340.61
0.35;340.61
0.36;340.61
0.37;340.61
0.38;340.61
0.39;340.61
0.4;340.61
0.41;340.61
0.42;340.61
0.43;340.61
0.44;340.61
0.45;340.61
0.46;340.61
0.47;340.61
0.48;340.61
0.49;340.61
0.5;340.61
0.51;340.61
0.52;340.61
0.53;340.61
0.54;340.61
0.55;340.61
0.56;340.61
0.57;340.61
0.58;340.61
0.59;340.61
0.6;340.61
0.61;340.61
0.62;340.61
0.63;340.61
0.64;340.61
0.65;340.61
0.66;340.61
0.67;340.61
0.68;340.61
0.69;340.61
0.7;340.61
0.71;340.61
0.72;340.61
0.73;340.61
0.74;340.61
0.75;340.61
0.76;340.61
0.77;340.61
0.78;340.61
0.79;340.61
0.8;340.61
0.81;340.61
0.82;340.61
0.83;340.61
0.84;340.61
0.85;340.61
0.86;340.61
0.87;340.61
0.88;340.61
0.89;340.61
0.9;340.61
0.91;340.61
0.92;340.61
0.93;447.76
0.94;447.76
0.95;447.76
0.96;447.76
0.97;447.76
0.98;447.76
0.99;447.76
1;447.76
1.01;447.76
1.02;447.76
1.03;447.76
1.04;447.76
1.05;447.76
1.06;447.76
1.07;447.76
1.08;447.76
1.09;447.76
1.1;447.76
1.11;447.76
1.12;447.76
1.13;447.76
1.14;447.76
1.15;447.76
1.16;447.76
1.17;447.76
1.18;447.76
1.19;447.76
1.2;447.76
1.21;447.76
1.22;447.76
1.23;447.76
1.24;447.76
1.25;447.76
1.26;447.76
1.27;447.76
1.28;447.76
1.29;447.76
1.3;447.76
1.31;447.76
1.32;447.76
1.33;447.76
1.34;447.76
1.35;447.76
1.36;447.76
1.37;447.76
1.38;447.76
1.39;447.76
1.4;447.76
1.41;447.76
1.42;447.76
1.43;447.76
1.44;447.76
1.45;447.76
1.46;447.76
1.47;447.76
1.48;447.76
1.49;447.76
1.5;447.76
1.51;447.76
1.52;447.76
1.53;447.76
1.54;447.76
1.55;447.76
1.56;447.76
1.57;447.76
1.58;447.76
1.59;447.76
1.6;447.76
1.61;447.76
1.62;447.76
1.63;447.76
1.64;447.76
1.65;447.76
1.66;447.76
1.67;447.76
1.68;447.76
1.69;447.76
1.7;447.76
1.71;447.76
1.72;447.76
1.73;447.76
1.74;447.76
1.75;447.76
1.76;447.76
1.77;447.76
1.78;447.76
1.79;447.76
1.8;447.76
1.81;447.76
1.82;447.76
1.83;447.76
1.84;447.76
1.85;447.76
1.86;447.76
1.87;447.76
1.88;447.76
1.89;447.76
1.9;447.76
1.91;447.76
1.92;447.76
1.93;447.76
1.94;447.76
1.95;447.76
1.96;447.76
1.97;447.76
1.98;447.76
1.99;447.76
2;447.76
2.01;447.76
2.02;424.22
2.03;424.22
2.04;424.22
2.05;424.22
2.06;424.22
2.07;424.22
2.08;424.22
2.09;424.22
2.1;424.22
2.11;424.22
2.12;424.22
2.13;424.22
2.14;424.22
2.15;424.22
2.16;424.22
2.17;424.22
2.18;424.22
2.19;424.22
2.2;424.22
2.21;424.22
2.22;424.22
2.23;424.22
2.24;424.22
2.25;424.22
2.26;424.22
2.27;424.22
2.28;424.22
2.29;424.22
2.3;424.22
2.31;424.22
2.32;424.22
2.33;424.22
2.34;424.22
2.35;424.22
2.36;424.22
2.37;424.22
2.38;424.22
2.39;424.22
2.4;424.22
2.41;424.22
2.42;424.22
2.43;424.22
2.44;424.22
2.45;424.22
2.46;424.22
2.47;424.22
2.48;424.22
2.49;424.22
2.5;424.22
2.51;424.22
2.52;424.22
2.53;424.22
2.54;424.22
2.55;424.22
2.56;424.22
2.57;424.22
2.58;424.22
2.59;424.22
2.6;424.22
2.61;424.22
2.62;424.22
2.63;424.22
2.64;424.22
2.65;424.22
2.66;424.22
2.67;424.22
2.68;424.22
2.69;424.22
2.7;424.22
2.71;424.22
2.72;424.22
2.73;424.22
2.74;424.22
2.75;424.22
2.76;424.22
2.77;424.22
2.78;424.22
2.79;424.22
2.8;424.22
2.81;424.22
2.82;424.22
2.83;424.22
2.84;424.22
2.85;424.22
2.86;424.22
2.87;424.22
2.88;424.22
2.89;424.22
2.9;424.22
2.91;424.22
2.92;424.22
2.93;424.22
2.94;424.22
2.95;424.22
2.96;424.22
2.97;424.22
2.98;424.22
