depth_m;density_kgm3
0.01;360.765
0.02;360.765
0.03;360.765
0.04;360.765
0.05;360.765
0.06;360.765
0.07;360.765
0.08;360.765
0.09;360.765
0.1;360.765
0.11;360.765
0.12;360.765
0.13;360.765
0.14;360.765
0.15;360.765
0.16;360.765
0.17;360.765
0.18;360.765
0.19;360.765
0.2;360.765
0.21;360.765
0.22;360.765
0.23;360.765
0.24;360.765
0.25;360.765
0.26;360.765
0.27;360.765
0.28;360.765
0.29;360.765
0.3;360.765
0.31;360.765
0.32;360.765
0.33;360.765
0.34;360.765
0.35;360.765
0.36;360.765
0.37;360.765
0.38;360.765
0.39;360.765
0.4;360.765
0.41;360.765
0.42;360.765
0.43;360.765
0.44;360.765
0.45;360.765
0.46;360.765
0.47;360.765
0.48;360.765
0.49;360.765
0.5;360.765
0.51;360.765
0.52;360.765
0.53;360.765
0.54;360.765
0.55;360.765
0.56;360.765
0.57;360.765
0.58;360.765
0.59;360.765
0.6;360.765
0.61;360.765
0.62;360.765
0.63;360.765
0.64;360.765
0.65;360.765
0.66;360.765
0.67;360.765
0.68;360.765
0.69;360.765
0.7;360.765
0.71;360.765
0.72;360.765
0.73;360.765
0.74;360.765
0.75;360.765
0.76;360.765
0.77;360.765
0.78;360.765
0.79;360.765
0.8;360.765
0.81;360.765
0.82;360.765
0.83;360.765
0.84;360.765
0.85;360.765
0.86;360.765
0.87;360.765
0.88;360.765
0.89;360.765
0.9;360.765
0.91;360.765
0.92;360.765
0.93;360.765
0.94;360.765
0.95;360.765
0.96;360.765
0.97;360.765
0.98;360.765
0.99;360.765
1;360.765
1.01;360.765
1.02;360.765
1.03;360.765
1.04;418.1
1.05;418.1
1.06;418.1
1.07;418.1
1.08;418.1
1.09;418.1
1.1;418.1
1.11;418.1
1.12;418.1
1.13;418.1
1.14;418.1
1.15;418.1
1.16;418.1
1.17;418.1
1.18;418.1
1.19;418.1
1.2;418.1
1.21;418.1
1.22;418.1
1.23;418.1
1.24;418.1
1.25;418.1
1.26;418.1
1.27;418.1
1.28;418.1
1.29;418.1
1.3;418.1
1.31;418.1
1.32;418.1
1.33;418.1
1.34;418.1
1.35;418.1
1.36;418.1
1.37;418.1
1.38;418.1
1.39;418.1
1.4;418.1
1.41;418.1
1.42;418.1
1.43;418.1
1.44;418.1
1.45;418.1
1.46;418.1
1.47;418.1
1.48;418.1
1.49;418.1
1.5;418.1
1.51;418.1
1.52;418.1
1.53;418.1
1.54;418.1
1.55;418.1
1.56;418.1
1.57;418.1
1.58;418.1
1.59;418.1
1.6;418.1
1.61;418.1
1.62;418.1
1.63;418.1
1.64;418.1
1.65;418.1
1.66;418.1
1.67;418.1
1.68;418.1
1.69;418.1
1.7;418.1
1.71;418.1
1.72;418.1
1.73;407.422
1.74;407.422
1.75;407.422
1.76;407.422
1.77;407.422
1.78;407.422
1.79;407.422
1.8;407.422
1.81;407.422
1.82;407.422
1.83;407.422
1.84;407.422
1.85;407.422
1.86;407.422
1.87;407.422
1.88;407.422
1.89;407.422
1.9;407.422
1.91;407.422
1.92;407.422
1.93;407.422
1.94;407.422
1.95;407.422
1.96;407.422
1.97;407.422
1.98;407.422
1.99;407.422
2;407.422
2.01;407.422
2.02;407.422
2.03;407.422
2.04;407.422
2.05;407.422
2.06;407.422
2.07;407.422
2.08;407.422
2.09;407.422
2.1;407.422
2.11;407.422
2.12;407.422
2.13;407.422
2.14;407.422
2.15;407.422
2.16;407.422
2.17;407.422
2.18;407.422
2.19;407.422
2.2;407.422
2.21;407.422
2.22;407.422
2.23;407.422
2.24;407.422
2.25;407.422
2.26;407.422
2.27;407.422
2.28;407.422
2.29;407.422
2.3;407.422
2.31;407.422
2.32;407.422
2.33;407.422
2.34;407.422
2.35;407.422
2.36;407.422
2.37;407.422
2.38;407.422
2.39;407.422
2.4;407.422
2.41;407.422
2.42;407.422
2.43;407.422
2.44;407.422
2.45;407.422
2.46;407.422
2.47;407.422
2.48;407.422
2.49;407.422
2.5;407.422
2.51;397.271
2.52;397.271
2.53;397.271
2.54;397.271
2.55;397.271
2.56;397.271
2.57;397.271
2.58;397.271
2.59;397.271
2.6;397.271
2.61;397.271
2.62;397.271
2.63;397.271
2.64;397.271
2.65;397.271
2.66;397.271
2.67;397.271
2.68;397.271
2.69;397.271
2.7;397.271
2.71;397.271
2.72;397.271
2.73;397.271
2.74;397.271
2.75;397.271
2.76;397.271
2.77;397.271
2.78;397.271
2.79;397.271
2.8;397.271
2.81;397.271
2.82;397.271
2.83;397.271
2.84;397.271
2.85;397.271
2.86;397.271
2.87;397.271
2.88;397.271
2.89;397.271
2.9;397.271
2.91;397.271
2.92;397.271
2.93;397.271
2.94;397.271
2.95;397.271
2.96;397.271
2.97;397.271
2.98;397.271
2.99;447.724
3;447.724
3.01;447.724
3.02;447.724
3.03;447.724
3.04;447.724
3.05;447.724
3.06;447.724
3.07;447.724
3.08;447.724
3.09;447.724
3.1;447.724
3.11;447.724
3.12;447.724
3.13;447.724
3.14;447.724
3.15;447.724
3.16;447.724
3.17;447.724
3.18;447.724
3.19;447.724
3.2;447.724
3.21;447.724
3.22;447.724
3.23;447.724
3.24;447.724
3.25;447.724
3.26;447.724
3.27;447.724
3.28;447.724
3.29;447.724
3.3;447.724
3.31;447.724
3.32;447.724
