depth_m;dens;dd
0.01;319.2;0
0.02;319.2;0
0.03;319.2;0
0.04;319.2;0
0.05;319.2;0
0.06;319.2;0
0.07;319.2;0
0.08;319.2;0
0.09;319.2;0
0.1;319.2;0
0.11;319.2;0
0.12;319.2;0
0.13;319.2;0
0.14;319.2;0
0.15;319.2;0
0.16;319.2;0
0.17;319.2;0
0.18;319.2;0
0.19;319.2;0
0.2;319.2;0
0.21;319.2;0
0.22;319.2;0
0.23;319.2;0
0.24;319.2;0
0.25;319.2;0
0.26;319.2;0
0.27;319.2;0
0.28;319.2;0
0.29;319.2;0
0.3;319.2;0
0.31;319.2;0
0.32;319.2;0
0.33;319.2;0
0.34;319.2;0
0.35;319.2;0
0.36;319.2;0
0.37;319.2;0
0.38;319.2;0
0.39;319.2;0
0.4;319.2;0
0.41;319.2;0
0.42;319.2;0
0.43;319.2;0
0.44;319.2;0
0.45;319.2;0
0.46;319.2;0
0.47;319.2;0
0.48;319.2;0
0.49;319.2;0
0.5;319.2;0
0.51;319.2;0
0.52;319.2;0
0.53;319.2;0
0.54;319.2;0
0.55;319.2;0
0.56;319.2;0
0.57;319.2;0
0.58;319.2;0
0.59;319.2;0
0.6;319.2;0
0.61;319.2;0
0.62;319.2;0
0.63;319.2;0
0.64;319.2;0
0.65;319.2;0
0.66;319.2;0
0.67;319.2;0
0.68;319.2;0
0.69;319.2;0
0.7;319.2;0
0.71;319.2;0
0.72;319.2;0
0.73;319.2;0
0.74;319.2;0
0.75;319.2;0
0.76;319.2;0
0.77;319.2;0
0.78;319.2;0
0.79;319.2;0
0.8;319.2;0
0.81;319.2;0
0.82;319.2;0
0.83;319.2;0
0.84;319.2;0
0.85;319.2;0
0.86;319.2;0
0.87;319.2;0
0.88;319.2;0
0.89;319.2;0
0.9;319.2;0
0.91;319.2;0
0.92;319.2;0
0.93;319.2;0
0.94;319.2;0
0.95;319.2;0
0.96;319.2;0
0.97;319.2;0
0.98;319.2;0
0.99;319.2;0
1;319.2;0
1.01;319.2;0
1.02;319.2;0
1.03;319.2;0
1.04;319.2;0
1.05;319.2;0
1.06;319.2;0
1.07;319.2;0
1.08;319.2;0
1.09;319.2;0
1.1;319.2;0
1.11;319.2;0
1.12;319.2;0
1.13;319.2;0
1.14;319.2;0
1.15;405.67;0
1.16;405.67;0
1.17;405.67;0
1.18;405.67;0
1.19;405.67;0
1.2;405.67;0
1.21;405.67;0
1.22;405.67;0
1.23;405.67;0
1.24;405.67;0
1.25;405.67;0
1.26;405.67;0
1.27;405.67;0
1.28;405.67;0
1.29;405.67;0
1.3;405.67;0
1.31;405.67;0
1.32;405.67;0
1.33;405.67;0
1.34;405.67;0
1.35;405.67;0
1.36;405.67;0
1.37;405.67;0
1.38;405.67;0
1.39;405.67;0
1.4;405.67;0
1.41;405.67;0
1.42;405.67;0
1.43;405.67;0
1.44;405.67;0
1.45;405.67;0
1.46;405.67;0
1.47;405.67;0
1.48;405.67;0
1.49;405.67;0
1.5;405.67;0
1.51;405.67;0
1.52;405.67;0
1.53;405.67;0
1.54;405.67;0
1.55;405.67;0
1.56;405.67;0
1.57;405.67;0
1.58;405.67;0
1.59;405.67;0
1.6;405.67;0
1.61;405.67;0
1.62;405.67;0
1.63;405.67;0
1.64;405.67;0
1.65;405.67;0
1.66;405.67;0
1.67;405.67;0
1.68;405.67;0
1.69;405.67;0
1.7;405.67;0
1.71;405.67;0
1.72;405.67;0
1.73;405.67;0
1.74;405.67;0
1.75;405.67;0
1.76;405.67;0
1.77;405.67;0
1.78;405.67;0
1.79;405.67;0
1.8;405.67;0
1.81;408.31;0
1.82;408.31;0
1.83;408.31;0
1.84;408.31;0
1.85;408.31;0
1.86;408.31;0
1.87;408.31;0
1.88;408.31;0
1.89;408.31;0
1.9;408.31;0
1.91;408.31;0
1.92;408.31;0
1.93;408.31;0
1.94;408.31;0
1.95;408.31;0
1.96;408.31;0
1.97;408.31;0
1.98;408.31;0
1.99;408.31;0
2;408.31;0
2.01;408.31;0
2.02;408.31;0
2.03;850;100
2.04;850;100
2.05;408.31;0
2.06;408.31;0
2.07;408.31;0
2.08;408.31;0
2.09;850;100
2.1;850;100
2.11;408.31;0
2.12;408.31;0
2.13;408.31;0
2.14;408.31;0
2.15;408.31;0
2.16;408.31;0
2.17;408.31;0
2.18;408.31;0
2.19;408.31;0
2.2;408.31;0
2.21;408.31;0
2.22;408.31;0
2.23;408.31;0
2.24;432.07;0
2.25;432.07;0
2.26;432.07;0
2.27;432.07;0
2.28;432.07;0
2.29;432.07;0
2.3;432.07;0
2.31;432.07;0
2.32;432.07;0
2.33;432.07;0
2.34;432.07;0
2.35;432.07;0
2.36;432.07;0
2.37;432.07;0
2.38;432.07;0
2.39;432.07;0
2.4;432.07;0
2.41;432.07;0
2.42;432.07;0
2.43;432.07;0
2.44;432.07;0
2.45;432.07;0
2.46;432.07;0
2.47;432.07;0
2.48;432.07;0
2.49;432.07;0
2.5;432.07;0
2.51;432.07;0
2.52;432.07;0
2.53;432.07;0
2.54;432.07;0
2.55;432.07;0
2.56;432.07;0
2.57;432.07;0
2.58;432.07;0
2.59;432.07;0
2.6;432.07;0
2.61;432.07;0
2.62;432.07;0
2.63;432.07;0
2.64;432.07;0
2.65;432.07;0
2.66;432.07;0
2.67;432.07;0
2.68;432.07;0
2.69;432.07;0
2.7;432.07;0
2.71;432.07;0
2.72;432.07;0
2.73;432.07;0
2.74;432.07;0
2.75;432.07;0
2.76;432.07;0
2.77;432.07;0
2.78;432.07;0
2.79;432.07;0
2.8;432.07;0
2.81;432.07;0
2.82;432.07;0
2.83;432.07;0
2.84;432.07;0
2.85;432.07;0
2.86;432.07;0
2.87;432.07;0
2.88;432.07;0
2.89;432.07;0
2.9;432.07;0
2.91;432.07;0
2.92;432.07;0
2.93;432.07;0
2.94;432.07;0
2.95;432.07;0
2.96;432.07;0
2.97;432.07;0
2.98;432.07;0
2.99;432.07;0
3;432.07;0
3.01;432.07;0
3.02;432.07;0
3.03;432.07;0
3.04;432.07;0
3.05;432.07;0
3.06;432.07;0
3.07;432.07;0
3.08;432.07;0
3.09;432.07;0
3.1;432.07;0
3.11;432.07;0
3.12;432.07;0
3.13;432.07;0
3.14;432.07;0
3.15;432.07;0
3.16;432.07;0
3.17;432.07;0
3.18;432.07;0
3.19;432.07;0
3.2;432.07;0
3.21;432.07;0
3.22;432.07;0
3.23;432.07;0
3.24;432.07;0
3.25;432.07;0
3.26;432.07;0
3.27;432.07;0
3.28;432.07;0
3.29;432.07;0
3.3;432.07;0
3.31;432.07;0
3.32;432.07;0
3.33;432.07;0
3.34;432.07;0
3.35;432.07;0
3.36;432.07;0
3.37;432.07;0
3.38;432.07;0
3.39;432.07;0
3.4;432.07;0
3.41;432.07;0
3.42;432.07;0
3.43;432.07;0
3.44;432.07;0
3.45;432.07;0
3.46;432.07;0
3.47;432.07;0
3.48;850;100
3.49;850;100
3.5;850;100
3.51;432.07;0
3.52;432.07;0
3.53;432.07;0
3.54;432.07;0
3.55;432.07;0
3.56;432.07;0
3.57;432.07;0
3.58;432.07;0
3.59;371.25;0
3.6;371.25;0
3.61;371.25;0
3.62;371.25;0
3.63;850;100
3.64;850;100
3.65;850;100
3.66;850;100
3.67;850;100
3.68;371.25;0
3.69;371.25;0
3.7;371.25;0
3.71;371.25;0
3.72;371.25;0
3.73;371.25;0
3.74;371.25;0
3.75;371.25;0
3.76;371.25;0
3.77;371.25;0
3.78;850;100
3.79;850;100
3.8;371.25;0
3.81;371.25;0
3.82;371.25;0
3.83;409.68;0
3.84;409.68;0
3.85;409.68;0
3.86;409.68;0
3.87;409.68;0
3.88;409.68;0
3.89;409.68;0
3.9;409.68;0
3.91;409.68;0
3.92;409.68;0
3.93;409.68;0
3.94;409.68;0
3.95;409.68;0
3.96;409.68;0
3.97;409.68;0
3.98;409.68;0
3.99;409.68;0
4;409.68;0
4.01;409.68;0
4.02;409.68;0
4.03;409.68;0
4.04;409.68;0
4.05;409.68;0
4.06;409.68;0
4.07;409.68;0
4.08;409.68;0
4.09;409.68;0
4.1;409.68;0
4.11;409.68;0
4.12;409.68;0
4.13;409.68;0
4.14;409.68;0
4.15;409.68;0
4.16;409.68;0
4.17;409.68;0
4.18;409.68;0
4.19;409.68;0
4.2;409.68;0
4.21;409.68;0
4.22;409.68;0
4.23;850;100
4.24;850;100
4.25;850;100
4.26;850;100
4.27;409.68;0
4.28;409.68;0
4.29;409.68;0
4.3;409.68;0
4.31;409.68;0
4.32;409.68;0
4.33;409.68;0
4.34;409.68;0
4.35;409.68;0
4.36;409.68;0
4.37;409.68;0
4.38;409.68;0
4.39;409.68;0
4.4;409.68;0
4.41;409.68;0
4.42;409.68;0
4.43;409.68;0
4.44;409.68;0
4.45;409.68;0
4.46;409.68;0
4.47;409.68;0
4.48;409.68;0
4.49;409.68;0
4.5;409.68;0
4.51;409.68;0
4.52;409.68;0
4.53;409.68;0
4.54;409.68;0
4.55;409.68;0
4.56;409.68;0
4.57;409.68;0
4.58;409.68;0
4.59;409.68;0
4.6;409.68;0
4.61;409.68;0
4.62;409.68;0
4.63;409.68;0
4.64;409.68;0
4.65;409.68;0
4.66;409.68;0
4.67;409.68;0
4.68;409.68;0
4.69;409.68;0
4.7;409.68;0
4.71;409.68;0
4.72;409.68;0
4.73;409.68;0
4.74;409.68;0
4.75;409.68;0
4.76;409.68;0
4.77;409.68;0
4.78;409.68;0
4.79;409.68;0
4.8;409.68;0
4.81;409.68;0
4.82;409.68;0
4.83;409.68;0
4.84;409.68;0
4.85;409.68;0
4.86;409.68;0
4.87;850;100
4.88;850;100
4.89;409.68;0
4.9;409.68;0
4.91;409.68;0
4.92;409.68;0
4.93;409.68;0
4.94;409.68;0
4.95;409.68;0
4.96;409.68;0
4.97;409.68;0
4.98;409.68;0
4.99;409.68;0
5;409.68;0
5.01;409.68;0
5.02;409.68;0
5.03;475.55;0
5.04;475.55;0
5.05;475.55;0
5.06;475.55;0
5.07;475.55;0
5.08;475.55;0
5.09;475.55;0
5.1;475.55;0
5.11;475.55;0
5.12;475.55;0
5.13;475.55;0
5.14;475.55;0
5.15;475.55;0
5.16;475.55;0
5.17;475.55;0
5.18;475.55;0
5.19;475.55;0
5.2;475.55;0
5.21;475.55;0
5.22;475.55;0
5.23;475.55;0
5.24;475.55;0
5.25;475.55;0
5.26;475.55;0
5.27;475.55;0
5.28;475.55;0
5.29;475.55;0
5.3;475.55;0
5.31;475.55;0
5.32;475.55;0
5.33;475.55;0
5.34;475.55;0
5.35;475.55;0
5.36;475.55;0
5.37;475.55;0
5.38;475.55;0
5.39;475.55;0
5.4;475.55;0
5.41;475.55;0
5.42;475.55;0
