depth_m;density_kgm3
0.01;251.866
0.02;251.866
0.03;251.866
0.04;251.866
0.05;251.866
0.06;251.866
0.07;251.866
0.08;251.866
0.09;251.866
0.1;251.866
0.11;251.866
0.12;251.866
0.13;251.866
0.14;251.866
0.15;251.866
0.16;251.866
0.17;251.866
0.18;251.866
0.19;251.866
0.2;251.866
0.21;251.866
0.22;251.866
0.23;251.866
0.24;251.866
0.25;251.866
0.26;251.866
0.27;251.866
0.28;251.866
0.29;251.866
0.3;251.866
0.31;251.866
0.32;251.866
0.33;251.866
0.34;251.866
0.35;251.866
0.36;251.866
0.37;251.866
0.38;251.866
0.39;251.866
0.4;251.866
0.41;251.866
0.42;251.866
0.43;251.866
0.44;251.866
0.45;251.866
0.46;251.866
0.47;251.866
0.48;251.866
0.49;251.866
0.5;251.866
0.51;251.866
0.52;251.866
0.53;251.866
0.54;251.866
0.55;251.866
0.56;251.866
0.57;251.866
0.58;251.866
0.59;251.866
0.6;251.866
0.61;251.866
0.62;251.866
0.63;251.866
0.64;251.866
0.65;251.866
0.66;251.866
0.67;251.866
0.68;251.866
0.69;251.866
0.7;251.866
0.71;251.866
0.72;251.866
0.73;251.866
0.74;251.866
0.75;251.866
0.76;251.866
0.77;251.866
0.78;251.866
0.79;251.866
0.8;251.866
0.81;251.866
0.82;251.866
0.83;251.866
0.84;251.866
0.85;251.866
0.86;251.866
0.87;251.866
0.88;251.866
0.89;251.866
0.9;251.866
0.91;251.866
0.92;251.866
0.93;251.866
0.94;251.866
0.95;251.866
0.96;251.866
0.97;251.866
0.98;251.866
0.99;251.866
1;251.866
1.01;251.866
1.02;251.866
1.03;251.866
1.04;251.866
1.05;251.866
1.06;251.866
1.07;251.866
1.08;251.866
1.09;251.866
1.1;251.866
1.11;251.866
1.12;251.866
1.13;251.866
1.14;251.866
1.15;251.866
1.16;251.866
1.17;251.866
1.18;251.866
1.19;251.866
1.2;251.866
1.21;251.866
1.22;251.866
1.23;251.866
1.24;251.866
1.25;251.866
1.26;251.866
1.27;251.866
1.28;251.866
1.29;251.866
1.3;251.866
1.31;251.866
1.32;251.866
1.33;251.866
1.34;251.866
1.35;251.866
1.36;251.866
1.37;251.866
1.38;251.866
1.39;270.918
1.4;270.918
1.41;270.918
1.42;270.918
1.43;270.918
1.44;270.918
1.45;270.918
1.46;270.918
1.47;270.918
1.48;270.918
1.49;270.918
1.5;270.918
1.51;270.918
1.52;270.918
1.53;270.918
1.54;270.918
1.55;270.918
1.56;270.918
1.57;270.918
1.58;270.918
1.59;270.918
1.6;270.918
1.61;270.918
1.62;270.918
1.63;270.918
1.64;270.918
1.65;270.918
1.66;270.918
1.67;270.918
1.68;270.918
1.69;270.918
1.7;270.918
1.71;270.918
1.72;270.918
1.73;270.918
1.74;270.918
1.75;270.918
1.76;270.918
1.77;270.918
1.78;270.918
1.79;270.918
1.8;270.918
1.81;270.918
1.82;270.918
1.83;270.918
1.84;270.918
1.85;270.918
1.86;270.918
1.87;270.918
1.88;270.918
1.89;270.918
1.9;270.918
1.91;270.918
1.92;270.918
1.93;270.918
1.94;320.764
1.95;320.764
1.96;320.764
1.97;320.764
1.98;320.764
1.99;320.764
2;320.764
2.01;320.764
2.02;320.764
2.03;320.764
2.04;320.764
2.05;320.764
2.06;320.764
2.07;320.764
2.08;320.764
2.09;320.764
2.1;320.764
2.11;320.764
2.12;320.764
2.13;320.764
2.14;320.764
2.15;320.764
2.16;320.764
2.17;320.764
2.18;320.764
2.19;320.764
2.2;320.764
2.21;320.764
2.22;320.764
2.23;320.764
2.24;320.764
2.25;320.764
2.26;320.764
2.27;320.764
2.28;320.764
2.29;320.764
2.3;320.764
2.31;320.764
2.32;320.764
2.33;320.764
2.34;320.764
2.35;320.764
2.36;320.764
2.37;320.764
2.38;320.764
2.39;320.764
2.4;320.764
2.41;320.764
2.42;320.764
2.43;320.764
2.44;320.764
2.45;320.764
2.46;320.764
2.47;320.764
2.48;320.764
2.49;344.355
2.5;344.355
2.51;344.355
2.52;344.355
2.53;344.355
2.54;344.355
2.55;344.355
2.56;344.355
2.57;344.355
2.58;344.355
2.59;344.355
2.6;344.355
2.61;344.355
2.62;344.355
2.63;344.355
2.64;344.355
2.65;344.355
2.66;344.355
2.67;344.355
2.68;344.355
2.69;344.355
2.7;344.355
2.71;344.355
2.72;344.355
2.73;344.355
2.74;344.355
2.75;344.355
2.76;344.355
2.77;344.355
2.78;344.355
2.79;344.355
2.8;344.355
2.81;344.355
2.82;344.355
2.83;344.355
2.84;344.355
2.85;344.355
2.86;344.355
2.87;344.355
2.88;344.355
2.89;344.355
2.9;344.355
2.91;344.355
2.92;344.355
2.93;344.355
2.94;344.355
2.95;344.355
2.96;344.355
2.97;344.355
2.98;344.355
2.99;344.355
3;344.355
3.01;344.355
3.02;344.355
3.03;344.355
3.04;326.852
3.05;326.852
3.06;326.852
3.07;326.852
3.08;326.852
3.09;326.852
3.1;326.852
3.11;326.852
3.12;326.852
3.13;326.852
3.14;326.852
3.15;326.852
3.16;326.852
3.17;326.852
3.18;326.852
3.19;326.852
3.2;326.852
3.21;326.852
3.22;326.852
3.23;326.852
3.24;326.852
3.25;326.852
3.26;326.852
3.27;326.852
3.28;326.852
3.29;326.852
3.3;326.852
3.31;326.852
3.32;326.852
3.33;326.852
3.34;326.852
3.35;326.852
3.36;326.852
3.37;326.852
3.38;326.852
3.39;326.852
3.4;326.852
3.41;326.852
3.42;326.852
3.43;326.852
3.44;326.852
3.45;326.852
3.46;326.852
3.47;326.852
3.48;326.852
3.49;326.852
3.5;326.852
3.51;326.852
3.52;326.852
3.53;326.852
3.54;326.852
3.55;326.852
3.56;326.852
3.57;326.852
3.58;326.852
3.59;340.55
3.6;340.55
3.61;340.55
3.62;340.55
3.63;340.55
3.64;340.55
3.65;340.55
3.66;340.55
3.67;340.55
3.68;340.55
3.69;340.55
3.7;340.55
3.71;340.55
3.72;340.55
3.73;340.55
3.74;340.55
3.75;340.55
3.76;340.55
3.77;340.55
3.78;340.55
3.79;340.55
3.8;340.55
3.81;340.55
3.82;340.55
3.83;340.55
3.84;340.55
3.85;340.55
3.86;340.55
3.87;340.55
3.88;340.55
3.89;340.55
3.9;340.55
3.91;340.55
3.92;340.55
3.93;340.55
3.94;340.55
3.95;340.55
3.96;340.55
3.97;340.55
3.98;340.55
3.99;340.55
4;340.55
4.01;340.55
4.02;340.55
4.03;340.55
4.04;340.55
4.05;340.55
4.06;340.55
4.07;340.55
4.08;340.55
4.09;340.55
4.1;340.55
4.11;340.55
4.12;340.55
4.13;340.55
4.14;345.877
4.15;345.877
4.16;345.877
4.17;345.877
4.18;345.877
4.19;345.877
4.2;345.877
4.21;345.877
4.22;345.877
4.23;345.877
4.24;345.877
4.25;345.877
4.26;345.877
4.27;345.877
4.28;345.877
4.29;345.877
4.3;345.877
4.31;345.877
4.32;345.877
4.33;345.877
4.34;345.877
4.35;345.877
4.36;345.877
4.37;345.877
4.38;345.877
4.39;345.877
4.4;345.877
4.41;345.877
4.42;345.877
4.43;345.877
4.44;345.877
4.45;345.877
4.46;345.877
4.47;345.877
4.48;345.877
4.49;345.877
4.5;345.877
4.51;345.877
4.52;345.877
4.53;345.877
4.54;345.877
4.55;345.877
4.56;345.877
4.57;345.877
4.58;345.877
4.59;345.877
4.6;345.877
4.61;345.877
4.62;345.877
4.63;345.877
4.64;345.877
4.65;345.877
4.66;345.877
4.67;345.877
4.68;345.877
4.69;356.912
4.7;356.912
4.71;356.912
4.72;356.912
4.73;356.912
4.74;356.912
4.75;356.912
4.76;356.912
4.77;356.912
4.78;356.912
4.79;356.912
4.8;356.912
4.81;356.912
4.82;356.912
4.83;356.912
4.84;356.912
4.85;356.912
4.86;356.912
4.87;356.912
4.88;356.912
4.89;356.912
4.9;356.912
4.91;356.912
4.92;356.912
4.93;356.912
4.94;356.912
4.95;356.912
4.96;356.912
4.97;356.912
4.98;356.912
4.99;356.912
5;356.912
5.01;356.912
5.02;356.912
5.03;356.912
5.04;356.912
5.05;356.912
5.06;356.912
5.07;356.912
5.08;356.912
5.09;356.912
5.1;356.912
5.11;356.912
5.12;356.912
5.13;356.912
5.14;356.912
5.15;356.912
5.16;356.912
5.17;356.912
5.18;356.912
5.19;356.912
5.2;356.912
5.21;356.912
5.22;356.912
5.23;356.912
5.24;377.459
5.25;377.459
5.26;377.459
5.27;377.459
5.28;377.459
5.29;377.459
5.3;377.459
5.31;377.459
5.32;377.459
5.33;377.459
5.34;377.459
5.35;377.459
5.36;377.459
5.37;377.459
5.38;377.459
5.39;377.459
5.4;377.459
5.41;377.459
5.42;377.459
5.43;377.459
5.44;377.459
5.45;377.459
5.46;377.459
5.47;377.459
5.48;377.459
5.49;377.459
5.5;377.459
5.51;377.459
5.52;377.459
5.53;377.459
5.54;377.459
5.55;377.459
5.56;377.459
5.57;377.459
5.58;377.459
5.59;377.459
5.6;377.459
5.61;377.459
5.62;377.459
5.63;377.459
5.64;377.459
5.65;377.459
5.66;377.459
5.67;377.459
5.68;377.459
5.69;377.459
5.7;377.459
5.71;377.459
5.72;377.459
5.73;377.459
5.74;377.459
5.75;377.459
5.76;377.459
5.77;377.459
5.78;377.459
5.79;397.245
5.8;397.245
5.81;397.245
5.82;397.245
5.83;397.245
5.84;397.245
5.85;397.245
5.86;397.245
5.87;397.245
5.88;397.245
5.89;397.245
5.9;397.245
5.91;397.245
5.92;397.245
5.93;397.245
5.94;397.245
5.95;397.245
5.96;397.245
5.97;397.245
5.98;397.245
5.99;397.245
6;397.245
6.01;397.245
6.02;397.245
6.03;397.245
6.04;397.245
6.05;397.245
6.06;397.245
6.07;397.245
6.08;397.245
6.09;397.245
6.1;397.245
6.11;397.245
6.12;397.245
6.13;397.245
6.14;397.245
6.15;397.245
6.16;397.245
6.17;397.245
6.18;397.245
6.19;397.245
6.2;397.245
6.21;397.245
6.22;397.245
6.23;397.245
6.24;397.245
6.25;397.245
6.26;397.245
6.27;397.245
6.28;397.245
6.29;397.245
6.3;397.245
6.31;397.245
6.32;397.245
6.33;397.245
6.34;412.846
6.35;412.846
6.36;412.846
6.37;412.846
6.38;412.846
6.39;412.846
6.4;412.846
6.41;412.846
6.42;412.846
6.43;412.846
6.44;412.846
6.45;412.846
6.46;412.846
6.47;412.846
6.48;412.846
6.49;412.846
6.5;412.846
6.51;412.846
6.52;412.846
6.53;412.846
6.54;412.846
6.55;412.846
6.56;412.846
6.57;412.846
6.58;412.846
6.59;412.846
6.6;412.846
6.61;412.846
6.62;412.846
6.63;412.846
6.64;412.846
6.65;412.846
6.66;412.846
6.67;412.846
6.68;412.846
6.69;412.846
6.7;412.846
6.71;412.846
6.72;412.846
6.73;412.846
6.74;412.846
6.75;412.846
6.76;412.846
6.77;412.846
6.78;412.846
6.79;412.846
6.8;412.846
6.81;412.846
6.82;412.846
6.83;412.846
6.84;412.846
6.85;412.846
6.86;412.846
6.87;412.846
6.88;412.846
6.89;436.261
6.9;436.261
6.91;436.261
6.92;436.261
6.93;436.261
6.94;436.261
6.95;436.261
6.96;436.261
6.97;436.261
6.98;436.261
6.99;436.261
7;436.261
7.01;436.261
7.02;436.261
7.03;436.261
7.04;436.261
7.05;436.261
7.06;436.261
7.07;436.261
7.08;436.261
7.09;436.261
7.1;436.261
7.11;436.261
7.12;436.261
