depth_m;density_kgm3
0.01;339.1
0.02;339.1
0.03;339.1
0.04;339.1
0.05;339.1
0.06;339.1
0.07;339.1
0.08;339.1
0.09;339.1
0.1;339.1
0.11;339.1
0.12;339.1
0.13;339.1
0.14;339.1
0.15;339.1
0.16;339.1
0.17;339.1
0.18;339.1
0.19;339.1
0.2;339.1
0.21;339.1
0.22;339.1
0.23;339.1
0.24;339.1
0.25;339.1
0.26;339.1
0.27;339.1
0.28;339.1
0.29;339.1
0.3;339.1
0.31;339.1
0.32;339.1
0.33;339.1
0.34;339.1
0.35;339.1
0.36;339.1
0.37;339.1
0.38;339.1
0.39;339.1
0.4;339.1
0.41;339.1
0.42;339.1
0.43;339.1
0.44;339.1
0.45;339.1
0.46;339.1
0.47;339.1
0.48;339.1
0.49;339.1
0.5;339.1
0.51;339.1
0.52;339.1
0.53;339.1
0.54;339.1
0.55;339.1
0.56;339.1
0.57;339.1
0.58;339.1
0.59;339.1
0.6;339.1
0.61;339.1
0.62;339.1
0.63;339.1
0.64;339.1
0.65;339.1
0.66;339.1
0.67;339.1
0.68;339.1
0.69;339.1
0.7;339.1
0.71;339.1
0.72;339.1
0.73;339.1
0.74;339.1
0.75;339.1
0.76;339.1
0.77;339.1
0.78;339.1
0.79;339.1
0.8;339.1
0.81;339.1
0.82;339.1
0.83;339.1
0.84;339.1
0.85;339.1
0.86;339.1
0.87;339.1
0.88;339.1
0.89;339.1
0.9;339.1
0.91;339.1
0.92;339.1
0.93;339.1
0.94;339.1
0.95;339.1
0.96;339.1
0.97;339.1
0.98;339.1
0.99;339.1
1;339.1
1.01;339.1
1.02;364.2
1.03;364.2
1.04;364.2
1.05;364.2
1.06;364.2
1.07;364.2
1.08;364.2
1.09;364.2
1.1;364.2
1.11;364.2
1.12;364.2
1.13;364.2
1.14;364.2
1.15;364.2
1.16;364.2
1.17;364.2
1.18;364.2
1.19;364.2
1.2;364.2
1.21;364.2
1.22;364.2
1.23;364.2
1.24;364.2
1.25;364.2
1.26;364.2
1.27;364.2
1.28;364.2
1.29;364.2
1.3;364.2
1.31;364.2
1.32;364.2
1.33;364.2
1.34;364.2
1.35;364.2
1.36;364.2
1.37;364.2
1.38;364.2
1.39;364.2
1.4;364.2
1.41;364.2
1.42;364.2
1.43;364.2
1.44;364.2
1.45;364.2
1.46;364.2
1.47;364.2
1.48;364.2
1.49;364.2
1.5;364.2
1.51;364.2
1.52;364.2
1.53;364.2
1.54;364.2
1.55;364.2
1.56;364.2
1.57;364.2
1.58;364.2
1.59;364.2
1.6;364.2
1.61;364.2
1.62;364.2
1.63;364.2
1.64;364.2
1.65;366.9
1.66;366.9
1.67;366.9
1.68;366.9
1.69;366.9
1.7;366.9
1.71;366.9
1.72;366.9
1.73;366.9
1.74;366.9
1.75;366.9
1.76;366.9
1.77;366.9
1.78;366.9
1.79;366.9
1.8;366.9
1.81;366.9
1.82;366.9
1.83;366.9
1.84;366.9
1.85;366.9
1.86;366.9
1.87;366.9
1.88;366.9
1.89;366.9
1.9;366.9
1.91;366.9
1.92;366.9
1.93;366.9
1.94;366.9
1.95;366.9
1.96;366.9
1.97;366.9
1.98;366.9
1.99;366.9
2;366.9
2.01;366.9
2.02;366.9
2.03;366.9
2.04;366.9
2.05;366.9
2.06;366.9
2.07;366.9
2.08;366.9
2.09;366.9
2.1;366.9
2.11;366.9
2.12;366.9
2.13;366.9
2.14;366.9
2.15;366.9
2.16;366.9
2.17;366.9
2.18;366.9
2.19;366.9
2.2;366.9
2.21;366.9
2.22;366.9
2.23;366.9
2.24;366.9
2.25;366.9
2.26;366.9
2.27;366.9
2.28;366.9
2.29;366.9
2.3;366.9
2.31;366.9
2.32;366.9
2.33;366.9
2.34;366.9
2.35;366.9
2.36;366.9
2.37;366.9
2.38;366.9
2.39;366.9
2.4;366.9
2.41;366.9
2.42;366.9
2.43;366.9
2.44;366.9
2.45;366.9
2.46;366.9
2.47;366.9
2.48;366.9
2.49;366.9
2.5;366.9
2.51;366.9
2.52;366.9
2.53;366.9
2.54;366.9
2.55;366.9
2.56;366.9
2.57;366.9
2.58;366.9
2.59;366.9
2.6;366.9
2.61;383.8
2.62;383.8
2.63;383.8
2.64;383.8
2.65;383.8
2.66;383.8
2.67;383.8
2.68;383.8
2.69;383.8
2.7;383.8
2.71;383.8
2.72;383.8
2.73;383.8
2.74;383.8
2.75;383.8
2.76;383.8
2.77;383.8
2.78;383.8
2.79;383.8
2.8;383.8
2.81;383.8
2.82;383.8
2.83;383.8
2.84;383.8
2.85;383.8
2.86;383.8
2.87;383.8
2.88;383.8
2.89;383.8
2.9;383.8
2.91;383.8
2.92;383.8
2.93;383.8
2.94;383.8
2.95;383.8
2.96;383.8
2.97;383.8
2.98;383.8
2.99;383.8
3;383.8
3.01;383.8
3.02;383.8
3.03;383.8
3.04;383.8
3.05;383.8
3.06;383.8
3.07;383.8
3.08;383.8
3.09;383.8
3.1;383.8
3.11;383.8
3.12;383.8
3.13;383.8
3.14;383.8
3.15;383.8
3.16;383.8
3.17;383.8
3.18;383.8
3.19;383.8
3.2;383.8
3.21;383.8
3.22;383.8
3.23;383.8
3.24;383.8
3.25;383.8
3.26;383.8
3.27;383.8
3.28;383.8
3.29;383.8
3.3;383.8
3.31;383.8
3.32;383.8
3.33;383.8
3.34;383.8
3.35;383.8
3.36;383.8
3.37;383.8
3.38;383.8
3.39;383.8
3.4;383.8
3.41;401.4
3.42;401.4
3.43;401.4
3.44;401.4
3.45;401.4
3.46;401.4
3.47;401.4
3.48;401.4
3.49;401.4
3.5;401.4
3.51;401.4
3.52;401.4
3.53;401.4
3.54;401.4
3.55;401.4
3.56;401.4
3.57;401.4
3.58;401.4
3.59;401.4
3.6;401.4
3.61;401.4
3.62;401.4
3.63;401.4
3.64;401.4
3.65;401.4
3.66;401.4
3.67;401.4
3.68;401.4
3.69;401.4
3.7;401.4
3.71;401.4
3.72;401.4
3.73;401.4
3.74;401.4
3.75;401.4
3.76;401.4
3.77;401.4
3.78;401.4
3.79;401.4
3.8;401.4
3.81;401.4
3.82;401.4
3.83;401.4
3.84;401.4
3.85;401.4
3.86;401.4
3.87;401.4
3.88;401.4
3.89;401.4
3.9;401.4
3.91;401.4
3.92;401.4
3.93;401.4
3.94;401.4
3.95;401.4
3.96;401.4
3.97;401.4
3.98;401.4
3.99;401.4
4;401.4
4.01;401.4
4.02;401.4
4.03;401.4
4.04;401.4
4.05;401.4
4.06;401.4
4.07;401.4
4.08;401.4
4.09;401.4
4.1;401.4
4.11;401.4
4.12;401.4
4.13;401.4
4.14;401.4
4.15;401.4
4.16;401.4
4.17;401.4
4.18;401.4
4.19;401.4
4.2;401.4
4.21;401.4
4.22;401.4
4.23;401.4
4.24;401.4
4.25;401.4
4.26;401.4
4.27;401.4
4.28;401.4
4.29;401.4
4.3;401.4
4.31;401.4
4.32;401.4
4.33;401.4
4.34;401.4
4.35;401.4
4.36;401.4
4.37;401.4
4.38;401.4
4.39;401.4
4.4;401.4
4.41;401.4
4.42;401.4
4.43;401.4
4.44;401.4
4.45;401.4
4.46;401.4
4.47;401.4
4.48;401.4
4.49;401.4
4.5;401.4
4.51;401.4
4.52;401.4
4.53;401.4
4.54;401.4
4.55;401.4
4.56;401.4
4.57;401.4
4.58;401.4
4.59;401.4
4.6;401.4
4.61;401.4
4.62;401.4
4.63;401.4
4.64;401.4
4.65;401.4
4.66;401.4
4.67;401.4
4.68;401.4
4.69;401.4
4.7;401.4
4.71;401.4
4.72;401.4
4.73;401.4
4.74;401.4
4.75;401.4
4.76;401.4
4.77;401.4
4.78;401.4
4.79;401.4
4.8;401.4
4.81;401.4
4.82;401.4
4.83;401.4
4.84;401.4
4.85;401.4
4.86;401.4
4.87;401.4
4.88;401.4
4.89;401.4
4.9;401.4
4.91;401.4
4.92;401.4
4.93;401.4
4.94;401.4
4.95;401.4
4.96;401.4
4.97;401.4
4.98;401.4
4.99;401.4
5;401.4
5.01;418.77
5.02;418.77
5.03;418.77
5.04;418.77
5.05;418.77
5.06;418.77
5.07;418.77
5.08;418.77
5.09;418.77
5.1;418.77
5.11;418.77
5.12;418.77
5.13;418.77
5.14;418.77
5.15;418.77
5.16;418.77
5.17;418.77
5.18;418.77
5.19;418.77
5.2;418.77
5.21;418.77
5.22;418.77
5.23;418.77
5.24;418.77
5.25;418.77
5.26;418.77
5.27;418.77
5.28;418.77
5.29;418.77
5.3;418.77
5.31;418.77
5.32;418.77
5.33;418.77
5.34;418.77
5.35;418.77
5.36;418.77
5.37;418.77
5.38;418.77
5.39;418.77
5.4;418.77
5.41;418.77
5.42;418.77
5.43;418.77
5.44;418.77
5.45;418.77
5.46;418.77
5.47;418.77
5.48;418.77
5.49;418.77
5.5;418.77
5.51;418.77
5.52;418.77
5.53;418.77
5.54;418.77
5.55;418.77
5.56;418.77
5.57;418.77
5.58;418.77
5.59;418.77
5.6;418.77
5.61;418.77
5.62;418.77
5.63;418.77
5.64;418.77
5.65;418.77
5.66;418.77
5.67;418.77
5.68;418.77
5.69;418.77
5.7;418.77
5.71;418.77
5.72;418.77
5.73;418.77
5.74;418.77
5.75;418.77
5.76;418.77
5.77;418.77
5.78;418.77
5.79;418.77
5.8;418.77
5.81;418.77
5.82;418.77
5.83;418.77
5.84;418.77
5.85;418.77
5.86;418.77
5.87;418.77
5.88;418.77
5.89;418.77
5.9;418.77
5.91;418.77
5.92;418.77
5.93;418.77
5.94;418.77
5.95;418.77
5.96;418.77
5.97;418.77
5.98;418.77
5.99;418.77
6;418.77
6.01;452.64
6.02;452.64
6.03;452.64
6.04;452.64
6.05;452.64
6.06;452.64
6.07;452.64
6.08;452.64
6.09;452.64
6.1;452.64
6.11;452.64
6.12;452.64
6.13;452.64
6.14;452.64
6.15;452.64
6.16;452.64
6.17;452.64
6.18;452.64
6.19;452.64
6.2;452.64
6.21;452.64
6.22;452.64
6.23;452.64
6.24;452.64
6.25;452.64
6.26;452.64
6.27;452.64
6.28;452.64
6.29;452.64
6.3;452.64
6.31;452.64
6.32;452.64
6.33;452.64
6.34;452.64
6.35;452.64
6.36;452.64
6.37;452.64
6.38;452.64
6.39;452.64
6.4;452.64
6.41;452.64
6.42;452.64
6.43;452.64
6.44;452.64
6.45;452.64
6.46;452.64
6.47;452.64
6.48;452.64
6.49;452.64
6.5;452.64
6.51;452.64
6.52;452.64
6.53;452.64
6.54;452.64
6.55;452.64
6.56;452.64
6.57;452.64
6.58;452.64
6.59;452.64
6.6;452.64
6.61;452.64
6.62;452.64
6.63;452.64
6.64;452.64
6.65;452.64
6.66;452.64
6.67;452.64
6.68;452.64
6.69;452.64
6.7;452.64
6.71;452.64
6.72;452.64
6.73;452.64
6.74;452.64
6.75;452.64
6.76;452.64
6.77;452.64
6.78;452.64
6.79;452.64
6.8;452.64
6.81;452.64
6.82;452.64
6.83;452.64
6.84;452.64
6.85;452.64
6.86;452.64
6.87;452.64
6.88;452.64
6.89;452.64
6.9;452.64
6.91;452.64
6.92;452.64
6.93;452.64
6.94;452.64
6.95;452.64
6.96;452.64
6.97;452.64
6.98;452.64
6.99;452.64
7;452.64
7.01;452.64
7.02;452.64
7.03;452.64
7.04;452.64
7.05;452.64
7.06;452.64
7.07;452.64
7.08;452.64
7.09;452.64
7.1;452.64
7.11;452.64
7.12;452.64
7.13;452.64
7.14;452.64
7.15;452.64
7.16;452.64
7.17;452.64
7.18;452.64
7.19;452.64
7.2;452.64
7.21;452.64
7.22;452.64
7.23;452.64
7.24;452.64
7.25;452.64
7.26;452.64
7.27;452.64
7.28;452.64
7.29;452.64
7.3;452.64
7.31;452.64
7.32;452.64
7.33;452.64
7.34;452.64
7.35;452.64
7.36;452.64
7.37;452.64
7.38;452.64
7.39;452.64
7.4;452.64
7.41;452.64
7.42;452.64
7.43;452.64
7.44;452.64
7.45;452.64
7.46;452.64
7.47;452.64
7.48;452.64
7.49;452.64
7.5;452.64
7.51;452.64
7.52;452.64
7.53;452.64
7.54;452.64
7.55;452.64
7.56;452.64
7.57;452.64
7.58;452.64
7.59;452.64
7.6;452.64
7.61;452.64
7.62;452.64
7.63;452.64
7.64;452.64
7.65;452.64
7.66;452.64
7.67;452.64
7.68;452.64
7.69;452.64
7.7;452.64
7.71;452.64
7.72;452.64
7.73;452.64
7.74;452.64
7.75;452.64
7.76;452.64
7.77;452.64
7.78;452.64
7.79;452.64
7.8;452.64
7.81;452.64
7.82;452.64
7.83;452.64
7.84;452.64
7.85;452.64
7.86;452.64
7.87;452.64
7.88;452.64
7.89;452.64
7.9;452.64
7.91;452.64
7.92;452.64
7.93;452.64
7.94;452.64
7.95;452.64
7.96;452.64
7.97;452.64
7.98;452.64
7.99;452.64
8;452.64
8.01;452.64
8.02;452.64
8.03;452.64
8.04;452.64
8.05;452.64
8.06;452.64
8.07;452.64
8.08;452.64
8.09;452.64
8.1;452.64
8.11;452.64
8.12;452.64
8.13;452.64
8.14;484.88
8.15;484.88
8.16;484.88
8.17;484.88
8.18;484.88
8.19;484.88
8.2;484.88
8.21;484.88
8.22;484.88
8.23;484.88
8.24;484.88
8.25;484.88
8.26;484.88
8.27;484.88
8.28;484.88
8.29;484.88
8.3;484.88
8.31;484.88
8.32;484.88
8.33;484.88
8.34;484.88
8.35;484.88
8.36;484.88
8.37;484.88
8.38;484.88
8.39;484.88
8.4;484.88
8.41;484.88
8.42;484.88
8.43;484.88
8.44;484.88
8.45;484.88
8.46;484.88
8.47;484.88
8.48;484.88
8.49;484.88
8.5;484.88
8.51;484.88
8.52;484.88
8.53;484.88
8.54;484.88
8.55;484.88
8.56;484.88
8.57;484.88
8.58;484.88
8.59;484.88
8.6;484.88
8.61;484.88
8.62;484.88
8.63;484.88
8.64;484.88
8.65;484.88
8.66;484.88
8.67;484.88
8.68;484.88
8.69;484.88
8.7;484.88
8.71;484.88
8.72;484.88
8.73;484.88
8.74;484.88
8.75;484.88
8.76;484.88
8.77;484.88
8.78;484.88
8.79;484.88
8.8;484.88
8.81;484.88
8.82;484.88
8.83;484.88
8.84;484.88
8.85;484.88
8.86;484.88
8.87;484.88
8.88;484.88
8.89;484.88
8.9;484.88
8.91;484.88
8.92;484.88
8.93;484.88
8.94;484.88
8.95;484.88
8.96;484.88
8.97;484.88
8.98;484.88
8.99;484.88
9;484.88
9.01;484.88
9.02;484.88
9.03;484.88
9.04;484.88
9.05;484.88
9.06;484.88
9.07;484.88
9.08;484.88
9.09;484.88
9.1;484.88
9.11;484.88
9.12;484.88
9.13;484.88
9.14;484.88
9.15;484.88
9.16;484.88
9.17;484.88
9.18;484.88
9.19;484.88
9.2;484.88
9.21;484.88
9.22;484.88
9.23;484.88
9.24;484.88
9.25;484.88
9.26;484.88
9.27;484.88
9.28;484.88
9.29;484.88
9.3;484.88
9.31;484.88
9.32;484.88
9.33;484.88
9.34;484.88
9.35;484.88
9.36;484.88
9.37;484.88
9.38;484.88
9.39;484.88
9.4;484.88
9.41;484.88
9.42;484.88
9.43;484.88
9.44;484.88
9.45;484.88
9.46;484.88
9.47;484.88
9.48;484.88
9.49;484.88
9.5;484.88
9.51;484.88
9.52;484.88
9.53;484.88
9.54;484.88
9.55;484.88
9.56;484.88
9.57;484.88
9.58;484.88
9.59;484.88
9.6;484.88
9.61;484.88
9.62;484.88
9.63;484.88
9.64;484.88
9.65;484.88
9.66;484.88
9.67;484.88
9.68;484.88
9.69;484.88
9.7;484.88
9.71;484.88
9.72;484.88
9.73;484.88
9.74;484.88
9.75;484.88
9.76;484.88
9.77;484.88
9.78;484.88
9.79;484.88
9.8;484.88
9.81;484.88
9.82;484.88
9.83;484.88
9.84;484.88
9.85;484.88
9.86;484.88
9.87;484.88
9.88;484.88
9.89;484.88
9.9;484.88
9.91;484.88
9.92;484.88
9.93;484.88
9.94;507.99
9.95;507.99
9.96;507.99
9.97;507.99
9.98;507.99
9.99;507.99
10;507.99
10.01;507.99
10.02;507.99
10.03;507.99
10.04;507.99
10.05;507.99
10.06;507.99
10.07;507.99
10.08;507.99
10.09;507.99
10.1;507.99
10.11;507.99
10.12;507.99
10.13;507.99
10.14;507.99
10.15;507.99
10.16;507.99
10.17;507.99
10.18;507.99
10.19;507.99
10.2;507.99
10.21;507.99
10.22;507.99
10.23;507.99
10.24;507.99
10.25;507.99
