depth_cm;density_kgm-1
0.01;305.84
0.02;305.84
0.03;305.84
0.04;305.84
0.05;305.84
0.06;305.84
0.07;305.84
0.08;305.84
0.09;305.84
0.1;305.84
0.11;305.84
0.12;305.84
0.13;305.84
0.14;305.84
0.15;305.84
0.16;305.84
0.17;305.84
0.18;305.84
0.19;305.84
0.2;305.84
0.21;305.84
0.22;305.84
0.23;305.84
0.24;305.84
0.25;305.84
0.26;305.84
0.27;305.84
0.28;305.84
0.29;305.84
0.3;305.84
0.31;305.84
0.32;305.84
0.33;305.84
0.34;305.84
0.35;305.84
0.36;305.84
0.37;305.84
0.38;305.84
0.39;305.84
0.4;305.84
0.41;305.84
0.42;305.84
0.43;305.84
0.44;305.84
0.45;305.84
0.46;305.84
0.47;305.84
0.48;305.84
0.49;301.57
0.5;301.57
0.51;301.57
0.52;301.57
0.53;301.57
0.54;301.57
0.55;301.57
0.56;301.57
0.57;301.57
0.58;301.57
0.59;301.57
0.6;301.57
0.61;301.57
0.62;301.57
0.63;301.57
0.64;301.57
0.65;301.57
0.66;301.57
0.67;301.57
0.68;301.57
0.69;301.57
0.7;301.57
0.71;301.57
0.72;301.57
0.73;301.57
0.74;301.57
0.75;301.57
0.76;301.57
0.77;301.57
0.78;301.57
0.79;301.57
0.8;301.57
0.81;301.57
0.82;301.57
0.83;301.57
0.84;301.57
0.85;301.57
0.86;301.57
0.87;301.57
0.88;301.57
0.89;301.57
0.9;301.57
0.91;301.57
0.92;301.57
0.93;301.57
0.94;301.57
0.95;301.57
0.96;301.57
0.97;301.57
0.98;301.57
0.99;301.57
1;301.57
1.01;301.57
1.02;301.57
1.03;276.64
1.04;276.64
1.05;276.64
1.06;276.64
1.07;276.64
1.08;276.64
1.09;276.64
1.1;276.64
1.11;276.64
1.12;276.64
1.13;276.64
1.14;276.64
1.15;276.64
1.16;276.64
1.17;276.64
1.18;276.64
1.19;276.64
1.2;276.64
1.21;276.64
1.22;276.64
1.23;276.64
1.24;276.64
1.25;276.64
1.26;276.64
1.27;276.64
1.28;276.64
1.29;276.64
1.3;276.64
1.31;276.64
1.32;276.64
1.33;276.64
1.34;276.64
1.35;276.64
1.36;276.64
1.37;276.64
1.38;276.64
1.39;276.64
1.4;276.64
1.41;276.64
1.42;276.64
1.43;276.64
1.44;276.64
1.45;276.64
1.46;276.64
1.47;276.64
1.48;276.64
1.49;276.64
1.5;850
1.51;850
1.52;850
1.53;850
1.54;850
1.55;850
1.56;850
1.57;850
1.58;850
1.59;850
1.6;392.09
1.61;392.09
1.62;392.09
1.63;392.09
1.64;392.09
1.65;392.09
1.66;392.09
1.67;392.09
1.68;392.09
1.69;392.09
1.7;392.09
1.71;392.09
1.72;392.09
1.73;392.09
1.74;392.09
1.75;392.09
1.76;392.09
1.77;392.09
1.78;392.09
1.79;392.09
1.8;392.09
1.81;392.09
1.82;392.09
1.83;392.09
1.84;392.09
1.85;392.09
1.86;392.09
1.87;392.09
1.88;392.09
1.89;392.09
1.9;392.09
1.91;392.09
1.92;392.09
1.93;392.09
1.94;392.09
1.95;392.09
1.96;392.09
1.97;392.09
1.98;392.09
1.99;392.09
2;392.09
2.01;392.09
2.02;392.09
2.03;850
2.04;850
2.05;392.09
2.06;392.09
2.07;392.09
2.08;392.09
2.09;392.09
2.1;392.09
2.11;392.09
2.12;424.03
2.13;424.03
2.14;424.03
2.15;424.03
2.16;424.03
2.17;424.03
2.18;424.03
2.19;424.03
2.2;850
2.21;850
2.22;850
2.23;424.03
2.24;424.03
2.25;424.03
2.26;424.03
2.27;424.03
2.28;424.03
2.29;424.03
2.3;424.03
2.31;424.03
2.32;424.03
2.33;424.03
2.34;424.03
2.35;424.03
2.36;424.03
2.37;424.03
2.38;424.03
2.39;424.03
2.4;424.03
2.41;424.03
2.42;424.03
2.43;424.03
2.44;424.03
2.45;424.03
2.46;424.03
2.47;424.03
2.48;424.03
2.49;424.03
2.5;424.03
2.51;424.03
2.52;424.03
2.53;424.03
2.54;424.03
2.55;424.03
2.56;424.03
2.57;424.03
2.58;424.03
2.59;424.03
2.6;424.03
2.61;424.03
2.62;424.03
2.63;424.03
2.64;424.03
2.65;424.03
2.66;424.03
2.67;424.03
2.68;424.03
2.69;424.03
2.7;424.03
2.71;424.03
2.72;424.03
2.73;424.03
2.74;424.03
2.75;424.03
2.76;424.03
2.77;424.03
2.78;424.03
2.79;424.03
2.8;424.03
2.81;424.03
2.82;424.03
2.83;424.03
2.84;424.03
2.85;424.03
2.86;424.03
2.87;424.03
2.88;424.03
2.89;424.03
2.9;424.03
2.91;424.03
2.92;424.03
2.93;424.03
2.94;424.03
2.95;424.03
2.96;424.03
2.97;424.03
2.98;424.03
2.99;506.91
3;506.91
3.01;506.91
3.02;506.91
3.03;506.91
3.04;506.91
3.05;506.91
3.06;506.91
3.07;506.91
3.08;506.91
3.09;506.91
3.1;506.91
3.11;506.91
3.12;506.91
3.13;506.91
3.14;506.91
3.15;506.91
3.16;506.91
3.17;506.91
3.18;506.91
3.19;506.91
3.2;506.91
3.21;506.91
3.22;506.91
3.23;506.91
3.24;506.91
3.25;506.91
3.26;506.91
3.27;506.91
3.28;506.91
3.29;506.91
3.3;506.91
3.31;506.91
3.32;506.91
3.33;506.91
3.34;506.91
3.35;506.91
3.36;506.91
3.37;506.91
3.38;506.91
3.39;506.91
3.4;506.91
3.41;506.91
3.42;506.91
3.43;506.91
3.44;506.91
3.45;506.91
3.46;506.91
3.47;506.91
3.48;506.91
3.49;506.91
3.5;506.91
3.51;506.91
3.52;506.91
