depth_m;density_kgm3
0;315
0.1;315.377772596382
0.2;315.911202024721
0.3;316.634768635598
0.4;317.573855943161
0.5;318.759827259088
0.6;320.325168071983
0.7;322.149092435028
0.8;324.188020616941
0.9;326.449877595787
1;329.029188244233
1.1;331.836542624808
1.2;334.819949402541
1.3;338.173739818537
1.4;341.818557971486
1.5;346.467453733086
1.6;351.028778881784
1.7;355.173836722596
1.8;358.868700483642
1.9;362.172437634561
2;365.16676805074
2.1;367.948805537498
2.2;370.572770556351
2.3;373.105157692901
2.4;375.521810910031
2.5;377.845779952144
2.6;380.150983853653
2.7;394.500314624031
2.8;398.695174544696
2.9;389.661180397237
3;392.775256322822
3.1;395.771723495672
3.2;398.508454468644
3.3;401.031696007216
3.4;403.408280261867
3.5;405.655595267857
3.6;407.8169888329
3.7;409.901097760093
3.8;411.916279017609
3.9;413.903497365419
4;418.79249933459
4.1;427.834643370611
4.2;436.876787406631
4.3;445.918931442652
4.4;449.413806966808
4.5;445.043194545916
4.6;440.672582125023
4.7;436.301969704131
4.8;431.931357283239
4.9;432.377769385443
5;434.236210333027
5.1;436.09465128061
5.2;437.953092228193
5.3;439.79654469586
5.4;441.587581398667
5.5;443.378618101474
5.6;445.16965480428
5.7;446.960691507087
5.8;448.722788819355
5.9;450.475385499719
6;452.227982180084
6.1;453.980578860449
6.2;455.591225979084
6.3;456.948366535952
6.4;458.305507092821
6.5;459.662647649689
6.6;461.020712797175
6.7;462.421530251797
6.8;463.822347706419
6.9;465.223165161042
7;466.623982615664
7.1;468.444672591453
7.2;470.413572990782
7.3;472.382473390112
7.4;474.351373789441
7.5;476.407939907888
7.6;478.541725930622
7.7;480.675511953356
7.8;482.809297976089
7.9;484.001050193529
8;483.784784421455
8.1;483.568518649381
8.2;483.352252877307
8.3;483.564048685438
8.4;484.979203187322
8.5;486.394357689207
8.6;487.809512191091
8.7;489.199490763192
8.8;490.469031629845
8.9;491.738572496497
9;493.00811336315
9.1;494.289234780794
9.2;495.650737962894
9.3;497.012241144994
9.4;498.373744327094
9.5;499.69123888919
9.6;500.695261672615
9.7;501.69928445604
9.8;502.703307239464
9.9;503.636732615021
10;504.176244956429
10.1;504.715757297837
10.2;505.255269639245
10.3;505.77907094816
10.4;506.239078303987
10.5;506.699085659815
10.6;507.159093015642
10.7;507.667913330921
10.8;508.317587225676
10.9;508.96726112043
11;509.616935015185
11.1;510.249080143401
11.2;510.846707504644
11.3;511.444334865887
11.4;512.04196222713
11.5;512.934659479729
11.6;514.212069320791
11.7;515.489479161854
11.8;516.766889002916
11.9;518.443337778586
12;520.422550106212
12.1;522.401762433838
12.2;524.380974761464
12.3;525.420621922865
12.4;526.161369857568
12.5;526.902117792272
12.6;527.642865726975
12.7;528.159438449376
12.8;528.668835625524
12.9;529.178232801672
13;529.673907805794
13.1;530.112234640101
13.2;530.550561474408
13.3;530.988888308715
13.4;531.482063397223
13.5;532.048271244626
13.6;532.614479092029
13.7;533.180686939431
13.8;533.916764432772
13.9;534.732889235497
14;535.549014038222
14.1;536.365138840947
14.2;537.278476986182
14.3;538.196740968498
14.4;539.115004950813
14.5;540.109364031272
14.6;541.335289049049
14.7;542.561214066826
14.8;543.787139084603
14.9;544.858920366708
15;545.816090094553
15.1;546.773259822398
15.2;547.730429550243
15.3;548.145395449533
15.4;548.515250648079
15.5;548.885105846625
15.6;549.282012516748
15.7;549.747866797158
15.8;550.213721077569
15.9;550.679575357979
16;551.234074412476
16.1;551.835977556911
16.2;552.437880701347
16.3;553.054651986897
16.4;554.073853075142
16.5;555.093054163386
16.6;556.112255251631
16.7;557.382844503001
16.8;558.968906148072
16.9;560.554967793144
17;562.141029438215
17.1;562.968880895483
17.2;563.700476481749
17.3;564.432072068014
17.4;564.52962633658
17.5;563.436785957061
17.6;562.343945577542
17.7;561.251105198023
17.8;560.59827581203
17.9;560.067299821457
18;559.536323830882
18.1;559.256991191261
18.2;559.943922077241
18.3;560.630852963222
18.4;561.317783849202
18.5;562.019690515291
18.6;562.72981480523
18.7;563.43993909517
18.8;564.148193859857
18.9;564.83974458234
19;565.531295304824
19.1;566.222846027308
19.2;566.938279499149
19.3;567.671664187116
19.4;568.405048875084
19.5;569.139146373402
19.6;569.885011192839
19.7;570.630876012277
19.8;571.376740831714
19.9;572.112852523393
20;572.841281483424
20.1;573.569710443455
20.2;574.301472296049
20.3;575.073141457989
20.4;575.844810619929
20.5;576.616479781869
20.6;577.377923181989
20.7;578.132854320256
20.8;578.887785458523
20.9;579.649698537589
21;580.448168341229
21.1;581.246638144869
21.2;582.045107948509
21.3;582.831839425452
21.4;583.614141720347
21.5;584.396444015242
21.6;585.192084236778
21.7;586.017771968683
21.8;586.843459700588
21.9;587.669147432493
22;588.480648501335
22.1;589.290663008679
22.2;590.100677516022
22.3;590.932873540065
22.4;591.785653201981
22.5;592.638432863897
22.6;593.488948608661
22.7;594.326494671335
22.8;595.164040734009
22.9;596.001586796683
23;596.85017611305
23.1;597.701623111071
23.2;598.553070109092
23.3;599.423157676631
23.4;600.315469420389
23.5;601.207781164146
23.6;602.098172658768
23.7;602.976188099387
23.8;603.854203540007
23.9;604.732218980627
24;605.615630911713
24.1;606.500160522796
24.2;607.384690133878
24.3;608.296871314354
24.4;609.232763758014
24.5;610.168656201673
24.6;611.099276386214
24.7;612.015257952991
24.8;612.931239519769
24.9;613.847297474003
25;614.773975418618
25.1;615.700653363234
25.2;616.627331307849
25.3;617.582494401988
25.4;618.546390564074
25.5;619.51028672616
25.6;620.466920528494
25.7;621.417363546226
25.8;622.367806563958
25.9;623.321899790366
26;624.283400969003
26.1;625.24490214764
26.2;626.207747115138
26.3;627.17912169874
26.4;628.150496282341
26.5;629.121870865943
26.6;630.084945463245
26.7;631.047654233029
26.8;632.010363002812
26.9;633.025146515926
27;634.053376520679
27.1;635.081606525432
27.2;636.091238430319
27.3;637.090762105256
27.4;638.090285780193
27.5;639.094282609141
27.6;640.102468521055
27.7;641.110654432968
27.8;642.122100671496
27.9;643.138432299038
28;644.15476392658
28.1;645.173381616799
28.2;646.197350434713
28.3;647.221319252627
28.4;648.245180436079
28.5;649.268645194882
28.6;650.292109953684
28.7;651.316258486873
28.8;652.344517225639
28.9;653.372775964404
29;654.401695417835
29.1;655.437594486232
29.2;656.473493554629
29.3;657.509717817356
29.4;658.552848516283
29.5;659.59597921521
29.6;660.639232739123
29.7;661.689188290082
29.8;662.739143841042
29.9;663.789134381698
30;664.845511051635
30.1;665.901887721571
30.2;666.958307792901
30.3;668.020705881061
30.4;669.08310396922
30.5;670.145632317866
30.6;671.213657012124
30.7;672.281681706383
30.8;673.349984781552
30.9;674.423246892227
31;675.496509002902
31.1;676.570242401035
31.2;677.648358980853
31.3;678.726475560672
31.4;679.805285427926
31.5;680.887880287001
31.6;681.970475146075
31.7;683.053999524928
31.8;684.140703649608
31.9;685.227407774289
32;686.315277883652
32.1;687.405729768301
32.2;688.496181652949
32.3;689.588023094224
32.4;690.68186899433
32.5;691.775714894436
32.6;692.864249326942
32.7;693.947899596005
32.8;695.031549865067
32.9;696.115289522699
33;697.199078284323
33.1;698.282867045946
33.2;699.366901314628
33.3;700.451003744752
33.4;701.535106174875
33.5;702.576039199265
33.6;703.613850324358
33.7;704.658129946136
33.8;705.764507531227
33.9;706.870885116318
34;707.977658263504
34.1;709.085508218841
34.2;710.193358174178
34.3;711.301236298131
34.4;712.409148112979
34.5;713.517059927826
34.6;714.608438996877
34.7;715.691083029289
34.8;716.7737270617
34.9;717.810132878231
35;718.839324612981
35.1;719.87566992839
35.2;720.98722607142
35.3;722.098782214449
35.4;723.210363658899
35.5;724.321998748765
35.6;725.433633838632
35.7;726.536770336162
35.8;727.633384685582
35.9;728.729999035002
36;729.763166561432
36.1;730.782638465084
36.2;731.810322228253
36.3;732.921463256661
36.4;734.03260428507
36.5;735.143404291572
36.6;736.253618499535
36.7;737.363832707498
36.8;738.455246243005
36.9;739.536862638324
37;740.618479033643
37.1;741.653003302143
37.2;742.685440989159
37.3;743.73784559597
37.4;744.844839211985
37.5;745.951832828001
37.6;747.047860559902
37.7;748.136228104303
37.8;749.224595648703
37.9;750.250234096751
38;751.270421568269
38.1;752.311926349968
38.2;753.413792845035
38.3;754.515659340103
38.4;755.603814741384
38.5;756.683285071284
38.6;757.762755401184
38.7;758.784438649824
38.8;759.804541681913
38.9;760.850384237518
39;761.945340771533
39.1;763.040297305549
39.2;764.064670814192
39.3;765.062167824801
39.4;766.070146528876
39.5;767.159993576595
39.6;768.249840624315
39.7;769.335925852647
39.8;770.418431288131
39.9;771.500936723615
40;772.503429457918
40.1;773.499035572359
40.2;774.523225932198
40.3;775.603471988696
40.4;776.683718045195
40.5;777.693032178592
40.6;778.680426097118
40.7;779.684904232445
40.8;780.758366802075
40.9;781.831829371704
41;782.846859049161
41.1;783.829314188582
41.2;784.819611858546
41.3;785.885680243519
41.4;786.951748628493
41.5;787.968405738223
41.6;788.945329906607
41.7;789.92409745907
41.8;790.982138001283
41.9;792.040178543495
42;793.095248321024
42.1;794.147343674729
42.2;795.199439028435
42.3;796.168915987779
42.4;797.137139341098
42.5;798.141720898886
42.6;799.185996816857
42.7;800.230272734829
42.8;801.192317813741
42.9;802.152620871792
43;803.110787194567
43.1;804.066710722162
43.2;805.022928625582
43.3;806.054790249665
43.4;807.086651873749
43.5;808.075031884075
43.6;809.024498383827
43.7;809.978134596699
43.8;810.998596843068
43.9;812.019059089438
44;812.992269381171
44.1;813.933632468467
44.2;814.884776708972
44.3;815.894539237847
44.4;816.904301766722
44.5;817.860493643905
44.6;818.793291887338
44.7;819.742929888891
44.8;820.741537417642
44.9;821.740144946392
45;822.677161025219
45.1;823.600925548276
45.2;824.549785169178
45.3;825.536823169805
45.4;826.523861170431
45.5;827.43972851435
45.6;828.353942337651
45.7;829.265624244972
45.8;830.175352156056
45.9;831.094515196182
46;832.06399966056
46.1;833.033484124937
46.2;833.950039098514
46.3;834.849704017731
46.4;835.770213824042
46.5;836.727070612911
46.6;837.683927401779
46.7;838.574496146564
46.8;839.463530921248
46.9;840.349603250895
47;841.233670054439
47.1;842.129618225109
47.2;843.067404648348
47.3;844.005191071587
47.4;844.887769182344
47.5;845.760779100405
47.6;846.630396897813
47.7;847.496472514085
47.8;848.369574372755
47.9;849.288976678575
48;850.208378984395
48.1;851.078317617962
48.2;851.934331785448
48.3;852.783440555713
48.4;853.623559828203
48.5;854.470001011403
48.6;855.377409620583
48.7;856.284818229764
48.8;857.139678588258
48.9;857.977876482141
49;858.8088521108
49.1;859.630248544529
49.2;860.458532886315
49.3;861.345132663798
49.4;862.231732441282
49.5;863.065614612502
49.6;863.885225082347
49.7;864.6999961093
49.8;865.509382995877
49.9;866.326711708833
50;867.184301903566
50.1;868.0418920983
50.2;868.850035790899
50.3;869.650223884875
50.4;870.446804522862
50.5;871.240584193371
50.6;872.04435729085
50.7;872.875253792218
50.8;873.706150293585
50.9;874.487126586352
51;875.267112829765
51.1;876.04263888736
51.2;876.816221609034
51.3;877.581825686804
51.4;878.336278614634
51.5;879.098938230853
51.6;879.911148473469
51.7;880.723358716085
51.8;881.483529406085
51.9;882.236051767334
52;882.866952782959
52.1;883.418786342262
52.2;883.970619901565
52.3;884.522453460867
52.4;885.126356020168
52.5;886.275963180667
52.6;887.425570341166
52.7;888.21998418209
52.8;888.943822714581
52.9;889.55419283559
53;890.084233699069
53.1;890.614274562549
53.2;891.144315426029
53.3;891.731548205425
53.4;892.833450619135
53.5;893.935353032845
53.6;894.533676643305
53.7;895.052360183128
53.8;895.57104372295
53.9;896.089727262773
54;896.430491202443
54.1;896.506445268105
54.2;896.582399333767
54.3;896.658353399428
54.4;896.73430746509
54.5;896.810261530751
54.6;896.886215596413
54.7;896.962169662075
54.8;897.038123727736
54.9;897.114077793398
55;897.19003185906
55.1;897.265985924721
55.2;897.341939990383
55.3;897.417894056044
55.4;897.493848121706
55.5;897.569802187368
55.6;897.645756253029
55.7;897.721710318691
55.8;897.797664384353
55.9;897.873618450014
56;897.949572515676
56.1;898.025526581337
56.2;898.101480646999
56.3;898.177434712661
56.4;898.253388778322
56.5;898.329342843984
56.6;898.405296909645
56.7;898.481250975307
56.8;898.557205040969
56.9;898.63315910663
57;898.709113172292
57.1;898.785067237954
57.2;898.861021303615
57.3;898.936975369277
57.4;899.012929434939
57.5;899.0888835006
57.6;899.164837566262
57.7;899.240791631923
57.8;899.316745697585
57.9;899.392699763247
58;899.468653828908
58.1;899.54460789457
58.2;899.620561960231
58.3;899.696516025893
58.4;899.772470091555
58.5;899.782868457934
58.6;899.790069541284
58.7;899.797270624635
58.8;899.804471707985
58.9;899.811672791336
59;899.818873874686
59.1;899.826074958037
59.2;899.833276041387
59.3;899.840477124738
59.4;899.847678208088
59.5;899.854879291439
59.6;899.86208037479
59.7;899.86928145814
59.8;899.876482541491
59.9;899.883683624841
60;899.890884708192
60.1;899.898085791542
60.2;899.905286874893
60.3;899.912487958243
60.4;899.919689041594
60.5;899.926890124945
60.6;899.934091208295
60.7;899.941292291646
60.8;899.948493374996
60.9;899.955694458347
61;899.962895541697
61.1;899.970096625048
61.2;899.977297708398
61.3;899.984498791749
61.4;899.991699875099
61.5;899.99890095845
