depth_m;density_kgm3
0;315
0.1;315.65275088869
0.2;316.89472910467
0.3;318.444681543124
0.4;320.076118028972
0.5;321.605768590023
0.6;323.222759381092
0.7;325.026017459796
0.8;326.994104800825
0.9;329.110266282711
1;331.349578283085
1.1;334.286597437268
1.2;337.716610286938
1.3;356.184989335032
1.4;384.610107119833
1.5;413.035224904634
1.6;441.460342689435
1.7;439.813780822679
1.8;427.488080651658
1.9;415.162380480637
2;402.836680309615
2.1;390.510980138594
2.2;389.499454031314
2.3;398.041311024968
2.4;406.583168018621
2.5;415.125025012275
2.6;423.666882005928
2.7;427.782975933835
2.8;431.041323612509
2.9;434.299671291184
3;437.558018969859
3.1;440.470550565519
3.2;442.542770811607
3.3;444.614991057694
3.4;446.687211303782
3.5;448.75943154987
3.6;451.51417413455
3.7;454.4000363969
3.8;457.285898659251
3.9;460.171760921602
4;462.202748148497
4.1;463.401612756137
4.2;464.600477363777
4.3;465.799341971416
4.4;467.044862832657
4.5;468.453593964647
4.6;469.862325096636
4.7;471.271056228626
4.8;472.679787360616
4.9;475.755363856143
5;478.844550521287
5.1;481.933737186431
5.2;485.022923851575
5.3;487.402256250584
5.4;489.677757862048
5.5;491.953259473512
5.6;494.228761084976
5.7;495.632104391355
5.8;496.856190075251
5.9;498.080275759147
6;499.304361443043
6.1;500.337658740212
6.2;501.330844939052
6.3;502.324031137892
6.4;503.317217336733
6.5;506.918636012994
6.6;510.964439957338
6.7;515.010243901682
6.8;519.053868742052
6.9;521.915123690391
7;524.776378638731
7.1;527.63763358707
7.2;529.537227004299
7.3;528.17644819584
7.4;526.81566938738
7.5;525.45489057892
7.6;524.521941628271
7.7;524.188620068087
7.8;523.855298507903
7.9;523.52197694772
8;523.678007293018
8.1;524.166093892281
8.2;524.654180491543
8.3;525.142267090805
8.4;525.221335438181
8.5;525.190768154934
8.6;525.160200871687
8.7;525.129633588439
8.8;525.458202881355
8.9;525.793862833306
9;526.129522785257
9.1;526.656227991181
9.2;528.042244186786
9.3;529.42826038239
9.4;530.814276577995
9.5;532.116223009882
9.6;533.302257602672
9.7;534.488292195463
9.8;535.674326788255
9.9;538.028078749613
10;540.906614564692
10.1;543.78515037977
10.2;546.626837792211
10.3;548.330450179716
10.4;550.034062567221
10.5;551.737674954727
10.6;553.400299185404
10.7;555.004806731838
10.8;556.609314278272
10.9;558.213821824706
11;559.358127421202
11.1;560.410185506492
11.2;561.462243591781
11.3;562.539769463738
11.4;563.684005783083
11.5;564.828242102428
11.6;565.972478421774
11.7;571.547852433182
11.8;578.640436025777
11.9;585.733019618373
12;591.237846814904
12.1;593.886939882671
12.2;596.536032950438
12.3;599.132719734393
12.4;599.121641308866
12.5;599.110562883338
12.6;599.09948445781
12.7;596.332602687935
12.8;592.280003060349
12.9;588.227403432763
13;584.782753959781
13.1;583.023677194657
13.2;581.264600429534
13.3;579.505523664411
13.4;579.268039739662
13.5;579.381824696932
13.6;579.495609654202
13.7;580.100743893659
13.8;581.571279382424
13.9;583.041814871189
14;584.512350359954
14.1;585.226933924944
14.2;585.894587475851
14.3;586.562241026759
14.4;587.168399250686
14.5;587.720936995054
14.6;588.273474739422
