depth_m;density_kgm3
0;315
0.1;318.012722864764
0.2;321.025445729527
0.3;319.872781081262
0.4;319.006364285112
0.5;320.310441773807
0.6;321.573097874518
0.7;322.763685741412
0.8;323.9382352977
0.9;325.119036780151
1;326.343959084667
1.1;327.67781529289
1.2;329.183924239976
1.3;330.787825244526
1.4;332.488756024859
1.5;334.279505619739
1.6;336.156037488901
1.7;338.129229574888
1.8;340.455112312624
1.9;352.512500521967
2;367.611815781401
2.1;382.711131040835
2.2;397.810446300269
2.3;409.839592099652
2.4;404.226754191784
2.5;398.613916283916
2.6;393.001078376048
2.7;387.38824046818
2.8;381.775402560312
2.9;384.345031125725
3;387.794611151745
3.1;391.244191177766
3.2;394.693771203786
3.3;398.143351229805
3.4;402.140714041829
3.5;406.208996181156
3.6;410.277278320483
3.7;414.34556045981
3.8;418.27562965822
3.9;420.981738851144
4;423.687848044068
4.1;426.393957236992
4.2;429.100066429916
4.3;431.659473223862
4.4;434.044706735326
4.5;436.429940246791
4.6;438.815173758256
4.7;441.200407269721
4.8;444.412750509165
4.9;447.690582728681
5;450.968414948197
5.1;454.246247167714
5.2;457.587217854774
5.3;460.98218267945
5.4;464.377147504126
5.5;467.772112328801
5.6;470.853929897217
5.7;473.154614656336
5.8;475.455299415455
5.9;477.755984174574
6;480.021441208354
6.1;482.0243386613
6.2;484.027236114246
6.3;486.030133567192
6.4;488.016675868136
6.5;489.222831019132
6.6;490.428986170129
6.7;491.635141321125
6.8;492.841296472122
6.9;493.656202422037
7;494.456261655322
7.1;495.256320888607
7.2;496.056380121893
7.3;497.212638841168
7.4;498.394589271823
7.5;499.576539702479
7.6;500.758490133134
7.7;503.141168696835
7.8;505.600502600574
7.9;508.059836504312
8;510.509272672552
8.1;512.530882234645
8.2;514.552491796737
8.3;516.57410135883
8.4;518.363739813765
8.5;518.972549116835
8.6;519.581358419905
8.7;520.190167722976
8.8;520.790172978385
8.9;521.371733997735
9;521.953295017085
9.1;522.534856036435
9.2;523.36163511086
9.3;524.435247643497
9.4;525.508860176134
9.5;526.582472708771
9.6;528.102364647616
9.7;529.810627715694
9.8;531.518890783772
9.9;533.227153851849
10;534.342297188496
10.1;535.428581863695
10.2;536.514866538894
10.3;537.648696363259
10.4;538.939720579499
10.5;540.23074479574
10.6;541.521769011981
10.7;542.704891284618
10.8;543.797396253896
10.9;544.889901223173
11;545.982406192451
11.1;546.621600156884
11.2;547.20006880643
11.3;547.778537455976
11.4;548.518557353151
11.5;549.786559563703
11.6;551.054561774255
11.7;552.322563984807
11.8;553.359454324249
11.9;554.25287096442
12;555.146287604591
12.1;556.034805952471
12.2;556.690130995546
12.3;557.34545603862
12.4;558.000781081694
12.5;558.649326907989
12.6;559.289219470283
12.7;559.929112032577
12.8;560.569004594872
12.9;560.878153815131
13;561.139001509291
13.1;561.399849203451
13.2;561.504325678684
13.3;561.263594004557
13.4;561.022862330431
13.5;560.782130656304
