depth_m;density_kgm3
0;315
0.1;315.308947427886
0.2;315.864475467684
0.3;316.587189793939
0.4;317.426063915717
0.5;318.381069770614
0.6;319.620853308157
0.7;321.518958508351
0.8;324.31633583447
0.9;327.916251541916
1;331.647954375153
1.1;334.805932681034
1.2;337.878297170534
1.3;340.736397192955
1.4;343.816555462733
1.5;347.682354802156
1.6;351.795301646369
1.7;355.392120735763
1.8;358.625568943343
1.9;361.630090103185
2;364.576443791219
2.1;367.643405933827
2.2;370.35841402193
2.3;372.695721907997
2.4;375.033029794063
2.5;379.018841120551
2.6;382.950789681998
2.7;385.38531139247
2.8;387.410777202506
2.9;389.436243012542
3;393.24026167452
3.1;396.592254722349
3.2;398.753689673381
3.3;400.664151659473
3.4;402.703739291209
3.5;406.886031252593
3.6;409.280333155471
3.7;410.980048583928
3.8;412.679764012384
3.9;415.540881099964
4;418.237048561001
4.1;419.849635606024
4.2;421.999042455586
4.3;424.466618770742
4.4;427.105003675339
4.5;428.683679191132
4.6;430.262354706926
4.7;431.840080369543
4.8;433.393809420047
4.9;434.947538470551
5;436.501267521055
5.1;438.0994592295
5.2;439.698241328743
5.3;441.297023427986
5.4;442.895805527228
5.5;444.550575691743
5.6;446.265917167246
5.7;447.981258642749
5.8;449.696600118252
5.9;451.40778274433
6;453.039396805084
6.1;454.671010865838
6.2;456.302624926591
6.3;457.934238987345
6.4;459.478982736739
6.5;460.984292375549
6.6;462.489602014358
6.7;463.994911653168
6.8;465.464991169203
6.9;466.879182996161
7;468.293374823118
7.1;469.707566650076
7.2;471.116887478924
7.3;472.496372976636
7.4;473.875858474347
7.5;475.255343972059
7.6;476.634829469771
7.7;477.961933898528
7.8;479.286024774722
7.9;480.610115650915
8;481.934206527108
8.1;483.17254777265
8.2;484.389265717351
8.3;485.605983662051
8.4;486.822701606752
8.5;487.892759278305
8.6;488.898193837472
8.7;489.903628396639
8.8;490.909062955806
8.9;491.912771205006
9;492.915438600469
9.1;493.918105995933
9.2;494.920773391396
9.3;495.89507079319
9.4;496.84939389426
9.5;497.80371699533
9.6;498.7580400964
9.7;499.708785886248
9.8;500.656948955133
9.9;501.605112024018
10;502.553275092903
10.1;503.644898145708
10.2;504.830319984933
10.3;506.015741824158
10.4;507.201163663383
10.5;508.133485212694
10.6;508.938398609342
10.7;509.74331200599
10.8;510.548225402638
10.9;511.335053471624
11;512.115852382841
11.1;512.896651294058
11.2;513.677450205275
11.3;514.873458430222
11.4;516.138212954413
11.5;517.402967478604
11.6;518.666770681386
11.7;519.552688394903
11.8;520.438606108421
11.9;521.324523821939
12;522.165378887927
12.1;522.789507926142
12.2;523.413636964357
12.3;524.037766002571
12.4;524.605540146379
12.5;525.072751966754
12.6;525.539963787129
12.7;526.007175607503
12.8;526.749921925785
12.9;527.710033646363
13;528.670145366942
13.1;529.630257087521
13.2;530.471715537971
13.3;531.28065072891
13.4;532.089585919849
13.5;532.884835435155
13.6;533.269075596081
13.7;533.653315757008
13.8;534.037555917934
13.9;534.54079650174
14;535.335831222262
14.1;536.130865942784
14.2;536.925900663306
14.3;537.818085060068
14.4;538.7842318202
14.5;539.750378580331
14.6;540.716525340462
14.7;541.45398076566
14.8;542.157387373096
14.9;542.860793980533
15;543.408166030741
15.1;543.293237602196
15.2;543.17830917365
15.3;543.063380745105
15.4;543.644155757833
15.5;544.89853490234
15.6;546.152914046848
15.7;547.407293191356
15.8;548.436626460359
15.9;549.428185044468
16;550.419743628577
16.1;551.252982635251
16.2;551.551094026025
16.3;551.849205416799
16.4;552.147316807573
16.5;552.423129657386
16.6;552.684531712333
16.7;552.945933767279
16.8;553.207335822226
16.9;554.150086168956
17;555.097814620311
17.1;556.045543071666
17.2;557.008048640669
17.3;557.992704261787
17.4;558.977359882904
17.5;559.962015504021
17.6;560.533516095291
17.7;561.02047732019
