depth_m;density_kgm3
0;315
0.1;315.412821592091
0.2;315.825643184182
0.3;316.722242959479
0.4;318.18353798094
0.5;319.721475667705
0.6;323.2802867135
0.7;326.942322437386
0.8;332.61241123514
0.9;339.251693923673
1;344.945146435914
1.1;350.638598948154
1.2;354.460416086487
1.3;357.094291557202
1.4;359.728167027916
1.5;369.341131809807
1.6;379.639460247972
1.7;386.620249731012
1.8;386.689561703816
1.9;386.758873676621
2;391.233660774787
2.1;397.262182137492
2.2;403.290703500196
2.3;409.319224862901
2.4;415.347746225605
2.5;418.982888568087
2.6;422.437079224544
2.7;425.891269881001
2.8;429.345460537458
2.9;432.562013172498
3;435.219689003146
3.1;437.877364833795
3.2;440.535040664443
3.3;443.192716495091
3.4;446.039253415828
3.5;448.935395253267
3.6;451.831537090706
3.7;454.727678928146
3.8;457.542359556178
3.9;460.240246044622
4;462.938132533066
4.1;465.636019021509
4.2;468.312269422393
4.3;470.853063066865
4.4;473.393856711338
4.5;475.93465035581
4.6;478.475444000282
4.7;480.757257353355
4.8;483.028099287599
4.9;485.298941221844
5;487.569783156088
5.1;489.717258191959
5.2;491.84476665601
5.3;493.972275120062
5.4;496.099783584113
5.5;498.164400600351
5.6;500.216389803294
5.7;502.268379006237
5.8;504.32036820918
5.9;506.962500300478
6;509.692978582588
6.1;512.423456864698
6.2;515.153935146808
6.3;516.790635521267
6.4;518.4144079621
6.5;520.038180402933
6.6;521.571227949244
6.7;522.602818910389
6.8;523.634409871534
6.9;524.666000832679
7;525.70677098461
7.1;526.764833526346
7.2;527.822896068081
7.3;528.880958609817
7.4;530.093185395459
7.5;531.422162578045
7.6;532.75113976063
7.7;534.080116943216
7.8;535.454098142707
7.9;536.837525911321
8;538.220953679934
8.1;539.548863741569
8.2;540.467905295387
8.3;541.386946849206
8.4;542.305988403024
8.5;543.230584053963
8.6;544.162372822814
8.7;545.094161591666
8.8;546.025950360517
8.9;546.873838512228
9;547.697351003305
9.1;548.520863494383
9.2;549.355896150304
9.3;550.265364204163
9.4;551.174832258022
9.5;552.084300311882
9.6;552.958903296728
9.7;553.800654212533
9.8;554.642405128338
9.9;555.484156044142
10;556.689301765997
10.1;557.928014730758
10.2;559.166727695519
10.3;560.487767557483
10.4;561.9654909931
10.5;563.443214428717
10.6;564.920937864334
10.7;566.172554615568
10.8;567.369918962868
10.9;568.567283310168
11;570.189568954626
11.1;572.829020881472
11.2;575.468472808318
11.3;578.107924735163
11.4;579.718017175109
11.5;581.129415439674
11.6;582.540813704238
11.7;583.1837707308
11.8;582.722820272834
11.9;582.261869814868
12;581.800919356902
12.1;580.544517428012
12.2;579.26628816775
12.3;577.988058907487
12.4;577.637428842341
12.5;578.178683841236
12.6;578.719938840132
12.7;579.315257848914
12.8;580.796607615106
12.9;582.277957381298
13;583.75930714749
13.1;585.269427835143
13.2;586.796074874334
13.3;588.322721913525
13.4;589.60875044152
13.5;590.144682260908
13.6;590.680614080297
13.7;591.216545899685
13.8;591.954068372964
13.9;592.724139106974
14;593.494209840984
14.1;594.14869931306
14.2;594.684736729586
14.3;595.220774146111
14.4;595.831881010944
14.5;596.916200942125
14.6;598.000520873306
14.7;599.084840804488
14.8;600.994492354199
14.9;603.110174625605
15;605.225856897011
15.1;606.599414742715
15.2;607.236630829755
15.3;607.873846916794
15.4;608.483388477472
15.5;608.991905004333
15.6;609.500421531195
15.7;610.008938058056
15.8;610.786062714564
