depth_m;density_kggm3
0.1;269.669184251196
0.2;233.023062701217
0.3;251.955370952968
0.4;293.575981282311
0.5;334.755057359982
0.6;348.087504309035
0.7;326.990536063921
0.8;319.704118862482
0.9;483.741839564985
1;395.857320190301
1.1;375.316924208517
1.2;363.57955507607
1.3;363.57955507607
1.4;368.011097837469
1.5;379.828545201199
1.6;379.828545201199
1.7;456.610434199435
1.8;477.839605436813
1.9;477.839605436813
2;477.839605436813
2.1;477.839605436813
2.2;457.20574907465
2.3;409.060084229604
2.4;409.060084229604
2.5;505.960616518706
2.6;539.460721708727
2.7;526.132043278993
2.8;526.132043278993
2.9;447.342701100925
3;344.022838426942
3.1;477.800193765001
3.2;477.800193765001
3.3;498.604899341566
3.4;519.409604918131
3.5;519.409604918131
3.6;519.409604918131
3.7;519.409604918131
3.8;519.409604918131
3.9;626.688617550132
4;612.417698376748
4.1;612.417698376748
4.2;612.417698376748
4.3;605.284236801771
4.4;541.083082626979
4.5;541.083082626979
4.6;541.083082626979
4.7;541.083082626979
4.8;541.083082626979
4.9;550.508812059227
5;551.687028238258
5.1;551.687028238258
5.2;512.514508041184
5.3;532.771998477594
5.4;568.222606741312
5.5;568.222606741312
5.6;568.222606741312
5.7;568.222606741312
5.8;568.222606741312
5.9;568.222606741312
6;426.873877328126
6.1;411.168462948884
6.2;492.373171136786
6.3;573.577879324688
6.4;573.577879324688
6.5;573.577879324688
6.6;573.577879324688
6.7;573.577879324688
6.8;566.603738915838
6.9;566.603738915838
7;566.603738915838
7.1;562.865843492377
7.2;529.224784681224
7.3;529.224784681224
7.4;471.166316936846
7.5;456.651700000751
7.6;498.035453399037
7.7;560.111083496465
7.8;560.111083496465
7.9;560.111083496465
8;576.331347481556
8.1;603.029629184178
8.2;601.79085130315
8.3;580.083442999067
8.4;577.671508743057
8.5;577.993630402208
8.6;591.98802692752
8.7;601.29376374742
8.8;576.13163411034
8.9;559.356881018954
9;558.295355562902
9.1;554.049253738694
9.2;587.551641325435
9.3;721.561191672397
9.4;721.561191672397
9.5;703.735391497643
9.6;632.432190798626
9.7;651.520881711243
9.8;718.3312999054
9.9;705.875929084918
10;656.054445802989
10.1;685.184841732218
10.2;762.865897543496
10.3;763.029514894175
10.4;764.502071050291
10.5;760.207115594953
10.6;721.552516496904
10.7;713.956808237926
10.8;653.191142166096
10.9;704.08636431186
11;709.741388994723
11.1;749.97948177075
11.2;754.003291048352
11.3;736.215017204158
11.4;694.709044901037
11.5;728.180413665484
11.6;803.513513870966
11.7;791.063092768944
11.8;791.063092768944
11.9;754.762048563533
12;700.310482255417
12.1;717.78691988345
12.2;796.430889209598
12.3;796.430889209598
12.4;769.121985950213
12.5;766.087663365836
12.6;721.476122184882
12.7;717.014968066787
12.8;806.832121147541
12.9;816.811804823181
13;659.897702720656
13.1;651.927608966776
13.2;659.814947699888
13.3;674.367189122755
13.4;688.919430545622
13.5;679.622415180788
13.6;670.325399815954
13.7;707.144905455563
13.8;736.600509967249
13.9;710.932020542067
14;670.378242380798
14.1;610.837087436451
14.2;618.586385857504
14.3;645.708930331188
14.4;670.708787509126
14.5;770.708216220878
14.6;779.264956692776
14.7;802.082931284505
14.8;782.716360730739
14.9;705.250078515674
15;739.835903261645
15.1;736.144925917214
15.2;699.235152472896
15.3;699.235152472896
15.4;707.545247663576
15.5;707.799769487891
15.6;710.090465906731
15.7;709.910809459646
15.8;708.473557882964
15.9;755.217167939908
16;766.903070454144
16.1;784.119770537939
16.2;788.423945558888
16.3;815.106422622807
16.4;841.788899686725
16.5;855.293823929477
16.6;868.798748172229
16.7;855.410669095024
16.8;846.485283043554
16.9;808.371904044034
17;770.258525044513
17.1;773.35148742986
17.2;801.188148897976
17.3;803.53397005466
17.4;824.646360464809
17.5;831.087256225963
17.6;856.850839270579
17.7;856.850839270579
17.8;829.340613574742
17.9;802.751740504205
18;801.868740843807
18.1;800.070246795521
18.2;795.840800556954
18.3;793.021169731243
18.4;821.465109787859
18.5;849.909049844475
18.6;830.617345431924
18.7;812.177872670667
18.8;813.304780318897
18.9;814.420453350232
19;851.198181967826
19.1;887.146148167917
19.2;896.845141312277
19.3;902.387423109054
19.4;868.253511863747
19.5;834.11960061844
19.6;836.233312979233
19.7;838.347025340025
19.8;824.386068199598
19.9;813.217302487257
20;817.837855342299
20.1;822.45840819734
20.2;843.066326178655
20.3;854.842279310836
20.4;851.108450979767
20.5;847.374622648699
20.6;824.287537402245
20.7;801.200452155791
20.8;800.294112163436
20.9;798.481432178726
21;830.495124175655
21.1;905.193738835155
21.2;881.656699528118
21.3;840.466880740805
21.4;871.436268460777
21.5;871.436268460777
21.6;844.495616405975
21.7;840.472986024797
21.8;800.24668221302
21.9;800.24668221302
22;818.382400000867
22.1;826.154850481372
22.2;840.180023966955
22.3;846.08911885016
22.4;866.556083370739
22.5;875.13271074481
22.6;881.891745138166
22.7;884.788474163891
22.8;852.416393713362
22.9;771.592265290168
23;847.374622648699
23.1;843.781022711526
23.2;835.395956191455
23.3;841.408904091106
23.4;853.866058639795
23.5;854.538214775126
23.6;854.802278182628
23.7;871.940328772236
23.8;901.931917304049
23.9;889.066427680323
24;859.04695189163
24.1;859.04695189163
24.2;853.862998596506
24.3;844.791080330039
24.4;844.791080330039
24.5;859.062457781935
24.6;861.183518782661
24.7;861.766691096376
24.8;862.314018867929
24.9;862.826360403298
25;863.357965508603
25.1;863.881655462737
25.2;864.423001518475
25.3;875.085427369596
25.4;883.309934160019
25.5;874.665225734276
25.6;866.383251857789
25.7;881.999533591703
25.8;894.713987042481
25.9;852.946179391762
26;811.178371741043
26.1;843.500715679582
26.2;875.823059618122
26.3;870.305584849569
26.4;865.891605034727
26.5;872.255104091661
26.6;878.618603148595
26.7;889.00114335203
26.8;897.653260188226
26.9;862.66344295004
27;827.673625711853
27.1;820.881462312108
27.2;814.089298912362
27.3;821.978102087842
27.4;828.289144628226
27.5;853.075158973261
27.6;877.861173318295
27.7;877.608108083488
