depth_m;density_kggm3
0.1;345.487183399971
0.2;378.597016470994
0.3;398.813612364827
0.4;353.435090525477
0.5;355.827972199666
0.6;375.292221917736
0.7;424.909524411458
0.8;549.02678782716
0.9;690.378699242355
1;540.733771719878
1.1;677.917815285174
1.2;723.666003930994
1.3;549.453291578065
1.4;671.642805240341
1.5;464.620694917202
1.6;633.790281271671
1.7;749.230653931868
1.8;846.562732841446
1.9;847.568749160924
2;583.754206434433
2.1;803.555535183725
2.2;656.425648459944
2.3;814.873218777862
2.4;890.70169885858
2.5;841.281147164182
2.6;821.663828934344
2.7;784.148235824707
2.8;732.07911281498
2.9;862.407489873238
3;872.719157147896
3.1;884.580910792363
3.2;901.635127147016
3.3;889.569930499166
3.4;835.245049247309
3.5;866.431555151153
3.6;825.882238273977
3.7;837.577506179411
3.8;854.187277578548
3.9;836.714362556021
4;880.6763609488
4.1;886.201388308416
4.2;882.779320342684
4.3;882.779320342684
4.4;863.024818069281
4.5;837.508585966136
4.6;831.849744169068
4.7;860.14395315441
4.8;848.826269560273
4.9;868.304478257338
5;839.986225784888
5.1;531.931128924438
5.2;690.378699242355
5.3;623.151658693182
5.4;828.137077241589
5.5;808.374301497517
5.6;571.543021503917
5.7;858.727588073039
5.8;876.920899209311
5.9;857.11034724258
6;881.587985227512
6.1;864.671026592065
6.2;864.834835170401
6.3;879.896289363967
6.4;864.671026592065
6.5;917
6.6;893.802293293521
6.7;905.414687530958
6.8;837.508585966136
6.9;845.053708362227
7;881.587985227512
7.1;848.826269560273
7.2;857.761282924065
7.3;781.64820612139
7.4;571.668773543852
7.5;660.952721897599
7.6;611.154914083397
7.7;769.602484401314
7.8;864.411003228194
7.9;875.078628412653
8;543.248812518575
8.1;551.171191034471
8.2;565.657826034966
8.3;563.345370390713
8.4;664.424612804673
8.5;708.367859481457
8.6;542.744437488836
8.7;651.843543554831
8.8;903.338491024564
8.9;871.838892868351
9;872.090396948221
9.1;873.725173467374
9.2;875.988710186202
9.3;650.766806662876
9.4;650.766806662876
9.5;553.308975713363
9.6;665.944295693291
9.7;599.274655573762
9.8;577.201863300986
9.9;577.201863300986
10;754.512239609131
10.1;788.808250500456
10.2;591.645936144698
10.3;591.645936144698
10.4;591.645936144698
10.5;593.31514838188
10.6;597.209976935305
10.7;614.939914152351
10.8;676.994694412011
10.9;676.994694412011
11;603.446601847438
11.1;619.463683796486
11.2;633.286022215915
11.3;633.286022215915
11.4;603.366546813332
11.5;558.487333709457
11.6;558.487333709457
11.7;558.487333709457
11.8;558.487333709457
11.9;558.487333709457
12;558.487333709457
12.1;558.487333709457
12.2;546.623406617043
12.3;522.895552432216
12.4;533.334373024491
12.5;627.283758354973
12.6;627.283758354973
12.7;627.283758354973
12.8;627.283758354973
12.9;588.887954088711
13;518.724406864441
13.1;564.053286568569
13.2;564.053286568569
13.3;587.234929773096
13.4;602.689358576113
13.5;602.689358576113
13.6;602.689358576113
13.7;601.157599808242
13.8;595.796444120694
13.9;595.796444120694
14;595.796444120694
14.1;607.570331544341
14.2;621.698996452716
14.3;695.277816984197
14.4;703.453241487695
14.5;703.453241487695
14.6;703.453241487695
14.7;631.46374166988
14.8;631.46374166988
14.9;631.46374166988
15;624.317144799934
15.1;622.893268496035
15.2;639.282777756826
15.3;639.282777756826
15.4;640.396936983837
15.5;642.996641846863
15.6;642.996641846863
15.7;642.996641846863
15.8;604.846511434142
15.9;637.912738715843
16;687.329021888711
16.1;687.329021888711
16.2;687.329021888711
16.3;673.728737113228
16.4;612.527455623555
16.5;612.527455623555
16.6;612.527455623555
16.7;612.527455623555
16.8;605.171042343534
16.9;602.412387363526
17;602.412387363526
17.1;690.03600734368
17.2;698.798369341695
17.3;652.852867306651
17.4;597.718264864597
17.5;597.718264864597
17.6;597.718264864597
17.7;603.088224430979
17.8;605.77320421417
17.9;605.77320421417
18;702.912405157843
18.1;702.912405157843
18.2;642.143108078147
18.3;642.143108078147
18.4;642.143108078147
18.5;642.143108078147
18.6;606.468233139841
18.7;606.468233139841
18.8;606.468233139841
18.9;606.468233139841
19;606.468233139841
19.1;700.66994180729
19.2;700.66994180729
19.3;700.66994180729
19.4;700.66994180729
19.5;700.66994180729
19.6;675.346703235007
19.7;669.719316885611
19.8;661.47134733278
19.9;628.479469121455
20;628.479469121455
20.1;628.479469121455
20.2;628.479469121455
20.3;633.694845482307
20.4;680.633232729977
20.5;680.633232729977
20.6;680.633232729977
20.7;698.917774795398
20.8;717.202316860819
20.9;651.073301790499
21;634.541048022919
21.1;633.632027475506
21.2;624.541822001376
21.3;624.541822001376
21.4;624.541822001376
21.5;624.541822001377
21.6;633.007763760986
21.7;671.104501679231
21.8;671.104501679231
21.9;647.384255991611
22;637.218436411202
22.1;637.218436411202
22.2;637.218436411202
22.3;622.22506143682
22.4;562.25156153929
22.5;736.90445524004
22.6;736.90445524004
22.7;685.213226930624
22.8;679.469757118467
22.9;679.469757118467
23;679.469757118467
23.1;663.838420170553
23.2;622.154854976117
23.3;622.154854976117
23.4;655.123075953562
23.5;655.123075953562
23.6;655.123075953562
23.7;655.123075953562
23.8;655.123075953562
23.9;671.398796466917
24;675.467726595256
24.1;675.467726595256
24.2;675.467726595256
24.3;676.371593551916
24.4;677.727393986907
24.5;677.727393986907
24.6;677.727393986907
24.7;677.727393986907
24.8;677.727393986907
24.9;678.092819697239
25;681.381651090225
25.1;681.381651090225
25.2;681.381651090225
25.3;774.333911760592
25.4;749.130324241733
25.5;607.003858312804
25.6;607.003858312804
25.7;607.003858312804
25.8;631.245119335792
25.9;655.48638035878
26;655.48638035878
