depth_m; temperature_degC
0;-24
0.1;-24
0.2;-24
0.3;-24
0.4;-24
0.5;-24
0.6;-24
0.7;-24
0.8;-24
0.9;-24
1;-24
1.1;-24
1.2;-24
1.3;-24
1.4;-24
1.5;-24
1.6;-24
1.7;-24
1.8;-24
1.9;-24
2;-24
2.1;-24
2.2;-24
2.3;-24
2.4;-24
2.5;-24
2.6;-24.01
2.7;-24.02
2.8;-24.03
2.9;-24.04
3;-24.05
3.1;-24.06
3.2;-24.07
3.3;-24.08
3.4;-24.09
3.5;-24.1
3.6;-24.1
3.7;-24.1
3.8;-24.1
3.9;-24.1
4;-24.1
4.1;-24.1
4.2;-24.1
4.3;-24.1
4.4;-24.1
4.5;-24.1
4.6;-24.1
4.7;-24.1
4.8;-24.1
4.9;-24.1
5;-24.1
5.1;-24.1
5.2;-24.1
5.3;-24.1
5.4;-24.1
5.5;-24.1
5.6;-24.1
5.7;-24.1
5.8;-24.1
5.9;-24.1
6;-24.1
6.1;-24.1
6.2;-24.1
6.3;-24.1
6.4;-24.1
6.5;-24.1
6.6;-24.1
6.7;-24.1
6.8;-24.1
6.9;-24.1
7;-24.1
7.1;-24.1
7.2;-24.1
7.3;-24.1
7.4;-24.1
7.5;-24.1
7.6;-24.1
7.7;-24.1
7.8;-24.1
7.9;-24.1
8;-24.1
8.1;-24.1
8.2;-24.1
8.3;-24.1
8.4;-24.1
8.5;-24.1
8.6;-24.1
8.7;-24.1
8.8;-24.1
8.9;-24.1
9;-24.1
9.1;-24.1
9.2;-24.1
9.3;-24.1
9.4;-24.1
9.5;-24.1
9.6;-24.1
9.7;-24.1
9.8;-24.1
9.9;-24.1
10;-24.1
10.1;-24.1
10.2;-24.1
10.3;-24.1
10.4;-24.1
10.5;-24.1
10.6;-24.1
10.7;-24.1
10.8;-24.1
10.9;-24.1
11;-24.1
11.1;-24.1
11.2;-24.1
11.3;-24.1
11.4;-24.1
11.5;-24.1
11.6;-24.1
11.7;-24.1
11.8;-24.1
11.9;-24.1
12;-24.1
12.1;-24.1
12.2;-24.1
12.3;-24.1
12.4;-24.1
12.5;-24.1
12.6;-24.1
12.7;-24.1
12.8;-24.1
12.9;-24.1
13;-24.1
13.1;-24.1
13.2;-24.1
13.3;-24.1
13.4;-24.1
13.5;-24.1
13.6;-24.1
13.7;-24.1
13.8;-24.1
13.9;-24.1
14;-24.1
14.1;-24.1
14.2;-24.1
14.3;-24.1
14.4;-24.1
14.5;-24.1
14.6;-24.11
14.7;-24.12
14.8;-24.13
14.9;-24.14
15;-24.15
15.1;-24.16
15.2;-24.17
15.3;-24.18
15.4;-24.19
15.5;-24.2
15.6;-24.2
15.7;-24.2
15.8;-24.2
15.9;-24.2
16;-24.2
16.1;-24.2
16.2;-24.2
16.3;-24.2
16.4;-24.2
16.5;-24.2
16.6;-24.2
16.7;-24.2
16.8;-24.2
16.9;-24.2
17;-24.2
17.1;-24.2
17.2;-24.2
17.3;-24.2
17.4;-24.2
17.5;-24.2
17.6;-24.2
17.7;-24.2
17.8;-24.2
17.9;-24.2
18;-24.2
18.1;-24.2
18.2;-24.2
18.3;-24.2
18.4;-24.2
18.5;-24.2
18.6;-24.2
18.7;-24.2
18.8;-24.2
18.9;-24.2
19;-24.2
19.1;-24.2
19.2;-24.2
19.3;-24.2
19.4;-24.2
19.5;-24.2
19.6;-24.2
19.7;-24.2
19.8;-24.2
19.9;-24.2
20;-24.2
20.1;-24.2
20.2;-24.2
20.3;-24.2
20.4;-24.2
20.5;-24.2
20.6;-24.2
20.7;-24.2
20.8;-24.2
20.9;-24.2
21;-24.2
21.1;-24.2
21.2;-24.2
21.3;-24.2
21.4;-24.2
21.5;-24.2
21.6;-24.2
21.7;-24.2
21.8;-24.2
21.9;-24.2
22;-24.2
22.1;-24.2
22.2;-24.2
22.3;-24.2
22.4;-24.2
22.5;-24.2
22.6;-24.2
22.7;-24.2
22.8;-24.2
22.9;-24.2
23;-24.2
23.1;-24.2
23.2;-24.2
23.3;-24.2
23.4;-24.2
23.5;-24.2
23.6;-24.2
23.7;-24.2
23.8;-24.2
23.9;-24.2
24;-24.2
24.1;-24.2
24.2;-24.2
24.3;-24.2
24.4;-24.2
24.5;-24.2
24.6;-24.2
24.7;-24.2
24.8;-24.2
24.9;-24.2
25;-24.2
25.1;-24.2
25.2;-24.2
25.3;-24.2
25.4;-24.2
25.5;-24.2
25.6;-24.2
25.7;-24.2
25.8;-24.2
25.9;-24.2
26;-24.2
26.1;-24.2
26.2;-24.2
26.3;-24.2
26.4;-24.2
26.5;-24.2
26.6;-24.2
26.7;-24.2
