depth_m;temperature_degC
0;NaN
0.1;NaN
0.2;NaN
0.3;NaN
0.4;NaN
0.5;-15.8517185848552
0.6;-15.8977185848552
0.7;-15.9437185848552
0.8;-15.9897185848552
0.9;-16.0357185848552
1;-16.0817185848552
1.1;-16.1277185848552
1.2;-16.1737185848552
1.3;-16.2197185848552
1.4;-16.2657185848552
1.5;-16.3171601394015
1.6;-16.3691601394015
1.7;-16.4211601394015
1.8;-16.4731601394015
1.9;-16.5251601394015
2;-16.5771601394015
2.1;-16.6291601394015
2.2;-16.6811601394015
2.3;-16.7331601394015
2.4;-16.7851601394015
2.5;-16.7754891878765
2.6;-16.7594891878765
2.7;-16.7434891878765
2.8;-16.7274891878765
2.9;-16.7114891878765
3;-16.6954891878765
3.1;-16.6794891878765
3.2;-16.6634891878765
3.3;-16.6474891878765
3.4;-16.6314891878765
3.5;-16.5873744893871
3.6;-16.5403744893871
3.7;-16.4933744893871
3.8;-16.4463744893871
3.9;-16.3993744893871
4;-16.3523744893871
4.1;-16.3053744893871
4.2;-16.2583744893871
4.3;-16.2113744893871
4.4;-16.1643744893871
4.5;-16.0910736424132
4.6;-16.0150736424132
4.7;-15.9390736424132
4.8;-15.8630736424132
4.9;-15.7870736424132
5;-15.7110736424132
5.1;-15.6350736424132
5.2;-15.5590736424132
5.3;-15.4830736424132
5.4;-15.4070736424132
5.5;-15.3510260090831
5.6;-15.2970260090831
5.7;-15.2430260090831
5.8;-15.1890260090831
5.9;-15.1350260090831
6;-15.0810260090831
6.1;-15.0270260090831
6.2;-14.9730260090831
6.3;-14.9190260090831
6.4;-14.8650260090831
6.5;-14.8110260090831
6.6;-14.7570260090831
6.7;-14.7030260090831
6.8;-14.6490260090831
6.9;-14.5950260090831
7;-14.5410260090831
7.1;-14.4870260090831
7.2;-14.4330260090831
7.3;-14.3790260090831
7.4;-14.3250260090831
7.5;-14.2932456901472
7.6;-14.2637456901472
7.7;-14.2342456901472
7.8;-14.2047456901472
7.9;-14.1752456901472
8;-14.1457456901472
8.1;-14.1162456901472
8.2;-14.0867456901472
8.3;-14.0572456901472
8.4;-14.0277456901472
8.5;-13.9982456901472
8.6;-13.9687456901472
8.7;-13.9392456901472
8.8;-13.9097456901472
8.9;-13.8802456901472
9;-13.8507456901472
9.1;-13.8212456901472
9.2;-13.7917456901472
9.3;-13.7622456901472
9.4;-13.7327456901472
9.5;-13.7304840217481
9.6;-13.7310177167545
9.7;-13.731551411761
9.8;-13.7320851067674
9.9;-13.7326188017739
10;-13.7331524967803
10.1;-13.7336861917867
10.2;-13.7342198867932
10.3;-13.7347535817996
10.4;-13.7352872768061
10.5;-13.7358209718125
10.6;-13.7363546668189
10.7;-13.7368883618254
10.8;-13.7374220568318
10.9;-13.7379557518383
11;-13.7384894468447
11.1;-13.7390231418511
11.2;-13.7395568368576
11.3;-13.740090531864
11.4;-13.7406242268705
11.5;-13.7411579218769
11.6;-13.7416916168833
11.7;-13.7422253118898
11.8;-13.7427590068962
11.9;-13.7432927019027
12;-13.7438263969091
12.1;-13.7443600919155
12.2;-13.744893786922
12.3;-13.7454274819284
12.4;-13.7459611769348
12.5;-13.7464948719413
12.6;-13.7470285669477
12.7;-13.7475622619542
12.8;-13.7480959569606
12.9;-13.748629651967
13;-13.7491633469735
13.1;-13.7496970419799
13.2;-13.7502307369864
13.3;-13.7507644319928
13.4;-13.7512981269992
13.5;-13.7518318220057
13.6;-13.7523655170121
13.7;-13.7528992120186
13.8;-13.753432907025
13.9;-13.7539666020314
14;-13.7545002970379
14.1;-13.7550339920443
14.2;-13.7555676870508
14.3;-13.7561013820572
14.4;-13.7566350770636
14.5;-13.7571687720701
14.6;-13.7577024670765
14.7;-13.758236162083
14.8;-13.7587698570894
14.9;-13.7593035520958
15;-13.7598372471023
15.1;-13.7603709421087
15.2;-13.7609046371152
15.3;-13.7614383321216
15.4;-13.761972027128
15.5;-13.7625057221345
15.6;-13.7630394171409
15.7;-13.7635731121474
15.8;-13.7641068071538
15.9;-13.7646405021602
16;-13.7651741971667
16.1;-13.7657078921731
16.2;-13.7662415871795
16.3;-13.766775282186
16.4;-13.7673089771924
16.5;-13.7678426721989
16.6;-13.7683763672053
16.7;-13.7689100622117
16.8;-13.7694437572182
16.9;-13.7699774522246
17;-13.7705111472311
17.1;-13.7710448422375
17.2;-13.7715785372439
17.3;-13.7721122322504
17.4;-13.7726459272568
17.5;-13.7731796222633
17.6;-13.7737133172697
17.7;-13.7742470122761
17.8;-13.7747807072826
17.9;-13.775314402289
18;-13.7758480972955
18.1;-13.7763817923019
18.2;-13.7769154873083
18.3;-13.7774491823148
18.4;-13.7779828773212
18.5;-13.7785165723277
18.6;-13.7790502673341
18.7;-13.7795839623405
18.8;-13.780117657347
18.9;-13.7806513523534
19;-13.7811850473598
19.1;-13.7817187423663
19.2;-13.7822524373727
19.3;-13.7827861323792
19.4;-13.7833198273856
19.5;-13.783853522392
19.6;-13.7843872173985
19.7;-13.7849209124049
19.8;-13.7854546074114
19.9;-13.7859883024178
20;-13.7865219974242
20.1;-13.7870556924307
20.2;-13.7875893874371
20.3;-13.7881230824436
20.4;-13.78865677745
20.5;-13.7891904724564
20.6;-13.7897241674629
20.7;-13.7902578624693
20.8;-13.7907915574758
20.9;-13.7913252524822
21;-13.7918589474886
21.1;-13.7923926424951
21.2;-13.7929263375015
21.3;-13.793460032508
21.4;-13.7939937275144
21.5;-13.7945274225208
21.6;-13.7950611175273
21.7;-13.7955948125337
21.8;-13.7961285075402
21.9;-13.7966622025466
22;-13.797195897553
22.1;-13.7977295925595
22.2;-13.7982632875659
22.3;-13.7987969825724
22.4;-13.7993306775788
22.5;-13.7998643725852
22.6;-13.8003980675917
22.7;-13.8009317625981
22.8;-13.8014654576045
22.9;-13.801999152611
23;-13.8025328476174
23.1;-13.8030665426239
23.2;-13.8036002376303
23.3;-13.8041339326367
23.4;-13.8046676276432
23.5;-13.8052013226496
23.6;-13.8057350176561
23.7;-13.8062687126625
23.8;-13.8068024076689
23.9;-13.8073361026754
24;-13.8078697976818
24.1;-13.8084034926883
24.2;-13.8089371876947
24.3;-13.8094708827011
24.4;-13.8100045777076
24.5;-13.810538272714
24.6;-13.8110719677205
24.7;-13.8116056627269
24.8;-13.8121393577333
24.9;-13.8126730527398
25;-13.8132067477462
25.1;-13.8137404427527
25.2;-13.8142741377591
25.3;-13.8148078327655
25.4;-13.815341527772
25.5;-13.8158752227784
25.6;-13.8164089177849
25.7;-13.8169426127913
25.8;-13.8174763077977
25.9;-13.8180100028042
26;-13.8185436978106
26.1;-13.819077392817
26.2;-13.8196110878235
26.3;-13.8201447828299
26.4;-13.8206784778364
26.5;-13.8212121728428
26.6;-13.8217458678492
26.7;-13.8222795628557
26.8;-13.8228132578621
26.9;-13.8233469528686
27;-13.823880647875
27.1;-13.8244143428814
27.2;-13.8249480378879
27.3;-13.8254817328943
27.4;-13.8260154279008
27.5;-13.8265491229072
27.6;-13.8270828179136
27.7;-13.8276165129201
27.8;-13.8281502079265
27.9;-13.828683902933
28;-13.8292175979394
28.1;-13.8297512929458
28.2;-13.8302849879523
28.3;-13.8308186829587
28.4;-13.8313523779652
28.5;-13.8318860729716
28.6;-13.832419767978
28.7;-13.8329534629845
28.8;-13.8334871579909
28.9;-13.8340208529974
29;-13.8345545480038
29.1;-13.8350882430102
29.2;-13.8356219380167
29.3;-13.8361556330231
29.4;-13.8366893280295
29.5;-13.837223023036
29.6;-13.8377567180424
29.7;-13.8382904130489
29.8;-13.8388241080553
29.9;-13.8393578030617
30;-13.8398914980682
30.1;-13.8404251930746
30.2;-13.8409588880811
30.3;-13.8414925830875
30.4;-13.8420262780939
30.5;-13.8425599731004
30.6;-13.8430936681068
30.7;-13.8436273631133
30.8;-13.8441610581197
30.9;-13.8446947531261
31;-13.8452284481326
31.1;-13.845762143139
31.2;-13.8462958381455
31.3;-13.8468295331519
31.4;-13.8473632281583
31.5;-13.8478969231648
31.6;-13.8484306181712
31.7;-13.8489643131777
31.8;-13.8494980081841
31.9;-13.8500317031905
32;-13.850565398197
32.1;-13.8510990932034
32.2;-13.8516327882099
32.3;-13.8521664832163
32.4;-13.8527001782227
32.5;-13.8532338732292
32.6;-13.8537675682356
32.7;-13.854301263242
32.8;-13.8548349582485
32.9;-13.8553686532549
33;-13.8559023482614
33.1;-13.8564360432678
33.2;-13.8569697382742
33.3;-13.8575034332807
33.4;-13.8580371282871
33.5;-13.8585708232936
33.6;-13.8591045183
33.7;-13.8596382133064
33.8;-13.8601719083129
33.9;-13.8607056033193
34;-13.8612392983258
34.1;-13.8617729933322
34.2;-13.8623066883386
34.3;-13.8628403833451
34.4;-13.8633740783515
34.5;-13.863907773358
34.6;-13.8644414683644
34.7;-13.8649751633708
34.8;-13.8655088583773
34.9;-13.8660425533837
35;-13.8665762483902
35.1;-13.8671099433966
35.2;-13.867643638403
35.3;-13.8681773334095
35.4;-13.8687110284159
35.5;-13.8692447234224
35.6;-13.8697784184288
35.7;-13.8703121134352
35.8;-13.8708458084417
35.9;-13.8713795034481
36;-13.8719131984545
36.1;-13.872446893461
36.2;-13.8729805884674
36.3;-13.8735142834739
36.4;-13.8740479784803
36.5;-13.8745816734867
36.6;-13.8751153684932
36.7;-13.8756490634996
36.8;-13.8761827585061
36.9;-13.8767164535125
37;-13.8772501485189
37.1;-13.8777838435254
37.2;-13.8783175385318
37.3;-13.8788512335383
37.4;-13.8793849285447
37.5;-13.8799186235511
37.6;-13.8804523185576
37.7;-13.880986013564
37.8;-13.8815197085705
37.9;-13.8820534035769
38;-13.8825870985833
38.1;-13.8831207935898
38.2;-13.8836544885962
38.3;-13.8841881836027
38.4;-13.8847218786091
38.5;-13.8852555736155
38.6;-13.885789268622
38.7;-13.8863229636284
