depth_m;temperature_degC
0;NaN
0.1;NaN
0.2;NaN
0.3;NaN
0.4;NaN
0.5;-7.871
0.6;-7.793
0.7;-7.715
0.8;-7.637
0.9;-7.559
1;-7.481
1.1;-7.363
1.2;-7.245
1.3;-7.127
1.4;-7.009
1.5;-6.891
1.6;-6.7652
1.7;-6.6394
1.8;-6.5136
1.9;-6.3878
2;-6.262
2.1;-6.1544
2.2;-6.0468
2.3;-5.9392
2.4;-5.8316
2.5;-5.724
2.6;-5.6129
2.7;-5.5018
2.8;-5.3907
2.9;-5.2796
3;-5.1685
3.1;-5.049
3.2;-4.9295
3.3;-4.81
3.4;-4.6905
3.5;-4.571
3.6;-4.4475
3.7;-4.324
3.8;-4.2005
3.9;-4.077
4;-3.9535
4.1;-3.8494
4.2;-3.7453
4.3;-3.6412
4.4;-3.5371
4.5;-3.433
4.6;-3.3411
4.7;-3.2492
4.8;-3.1573
4.9;-3.0654
5;-2.9735
5.1;-2.8794
5.2;-2.7853
5.3;-2.6912
5.4;-2.5971
5.5;-2.503
5.6;-2.4332
5.7;-2.3634
5.8;-2.2936
5.9;-2.2238
6;-2.154
6.1;-2.0752
6.2;-1.9964
6.3;-1.9176
6.4;-1.8388
6.5;-1.76
6.6;-1.7004
6.7;-1.6408
6.8;-1.5812
6.9;-1.5216
7;-1.462
7.1;-1.409
7.2;-1.356
7.3;-1.303
7.4;-1.25
7.5;-1.197
7.6;-1.1597
7.7;-1.1224
7.8;-1.0851
7.9;-1.0478
8;-1.0105
8.1;-0.9628
8.2;-0.915099999999999
8.3;-0.8674
8.4;-0.8197
8.5;-0.772
8.6;-0.7292
8.7;-0.6864
8.8;-0.6436
8.9;-0.6008
9;-0.558
9.1;-0.5402
9.2;-0.5224
9.3;-0.5046
9.4;-0.4868
9.5;-0.469
9.6;-0.424999999999999
9.7;-0.381
9.8;-0.337
9.9;-0.293
10;-0.249
10.1;-0.233
10.2;-0.217
10.3;-0.201
10.4;-0.185
10.5;-0.169
10.6;-0.1443
10.7;-0.1196
10.8;-0.0948999999999998
10.9;-0.0701999999999999
11;-0.0455
11.1;-0.0313999999999998
11.2;-0.0172999999999998
11.3;-0.0031999999999999
11.4;0.0109000000000001
11.5;0.025
11.6;0.0374000000000002
11.7;0.0498000000000001
11.8;0.0622000000000001
11.9;0.0746
12;0.087
12.1;0.0904
12.2;0.0938
12.3;0.0972
12.4;0.1006
12.5;0.104
12.6;0.0925999999999998
12.7;0.0811999999999999
12.8;0.0697999999999999
12.9;0.0584
13;0.047
13.1;0.0542000000000001
13.2;0.0614000000000001
13.3;0.0686000000000001
13.4;0.0758
13.5;0.083
13.6;0.0757999999999999
13.7;0.0685999999999999
13.8;0.0613999999999999
13.9;0.0542
14;0.047
14.1;0.0634000000000002
14.2;0.0798000000000002
14.3;0.0962000000000001
14.4;0.1126
14.5;0.129
14.6;0.1202
14.7;0.1114
14.8;0.1026
14.9;0.0938
15;0.085
15.1;0.0862
15.2;0.0874
15.3;0.0886
15.4;0.0898
15.5;0.091
15.6;0.0894
15.7;0.0878
15.8;0.0862
15.9;0.0846
16;0.083
16.1;0.0787999999999999
16.2;0.0746
16.3;0.0704
16.4;0.0661999999999999
16.5;0.062
16.6;0.0608
16.7;0.0596
16.8;0.0584
16.9;0.0572
17;0.056
17.1;0.0542
17.2;0.0524
17.3;0.0506
17.4;0.0488
17.5;0.047
17.6;0.0602000000000002
17.7;0.0733999999999999
17.8;0.0866000000000001
17.9;0.0998000000000003
18;0.113
18.1;0.111
18.2;0.109
18.3;0.107
18.4;0.105
18.5;0.103
18.6;0.1042
18.7;0.1054
18.8;0.1066
18.9;0.1078
19;0.109
19.1;0.1018
19.2;0.0945999999999998
19.3;0.0874
19.4;0.0801999999999998
19.5;0.073
19.6;0.071
19.7;0.0689999999999999
19.8;0.067
19.9;0.065
20;0.063
20.1;0.0706000000000001
20.2;0.0782000000000002
20.3;0.0858000000000001
20.4;0.0934000000000002
20.5;0.101
20.6;0.0947999999999999
20.7;0.0885999999999998
20.8;0.0824
20.9;0.0761999999999999
21;0.07
21.1;0.0706
21.2;0.0712
21.3;0.0718
21.4;0.0724
21.5;0.073
21.6;0.072
21.7;0.071
21.8;0.07
21.9;0.069
22;0.068
22.1;0.0678
22.2;0.0676
22.3;0.0674
22.4;0.0672
22.5;0.067
22.6;0.0662
22.7;0.0654
22.8;0.0646
22.9;0.0638
23;0.063
23.1;0.0608
23.2;0.0585999999999999
23.3;0.0564
23.4;0.0542
23.5;0.052
23.6;0.0518575342465753
23.7;0.0517150684931507
23.8;0.051572602739726
23.9;0.0514301369863014
24;0.0512876712328767
24.1;0.0511452054794521
24.2;0.0510027397260274
24.3;0.0508602739726027
24.4;0.0507178082191781
24.5;0.0505753424657534
24.6;0.0504328767123288
24.7;0.0502904109589041
24.8;0.0501479452054795
24.9;0.0500054794520548
25;0.0498630136986301
25.1;0.0497205479452055
25.2;0.0495780821917808
25.3;0.0494356164383562
25.4;0.0492931506849315
25.5;0.0491506849315068
25.6;0.0490082191780822
25.7;0.0488657534246575
25.8;0.0487232876712329
25.9;0.0485808219178082
26;0.0484383561643836
26.1;0.0482958904109589
26.2;0.0481534246575342
26.3;0.0480109589041096
26.4;0.0478684931506849
26.5;0.0477260273972603
26.6;0.0475835616438356
26.7;0.0474410958904109
26.8;0.0472986301369863
26.9;0.0471561643835616
27;0.047013698630137
27.1;0.0468712328767123
27.2;0.0467287671232877
27.3;0.046586301369863
27.4;0.0464438356164383
27.5;0.0463013698630137
27.6;0.046158904109589
27.7;0.0460164383561644
27.8;0.0458739726027397
27.9;0.0457315068493151
28;0.0455890410958904
28.1;0.0454465753424657
28.2;0.0453041095890411
28.3;0.0451616438356164
28.4;0.0450191780821918
28.5;0.0448767123287671
28.6;0.0447342465753425
28.7;0.0445917808219178
28.8;0.0444493150684932
28.9;0.0443068493150685
29;0.0441643835616438
29.1;0.0440219178082192
29.2;0.0438794520547945
29.3;0.0437369863013699
29.4;0.0435945205479452
29.5;0.0434520547945205
29.6;0.0433095890410959
29.7;0.0431671232876712
29.8;0.0430246575342466
29.9;0.0428821917808219
30;0.0427397260273973
30.1;0.0425972602739726
30.2;0.0424547945205479
30.3;0.0423123287671233
30.4;0.0421698630136986
30.5;0.042027397260274
30.6;0.0418849315068493
30.7;0.0417424657534247
30.8;0.0416
30.9;0.0414575342465753
31;0.0413150684931507
31.1;0.041172602739726
31.2;0.0410301369863014
31.3;0.0408876712328767
31.4;0.0407452054794521
31.5;0.0406027397260274
31.6;0.0404602739726027
31.7;0.0403178082191781
31.8;0.0401753424657534
31.9;0.0400328767123288
32;0.0398904109589041
32.1;0.0397479452054795
32.2;0.0396054794520548
32.3;0.0394630136986301
32.4;0.0393205479452055
32.5;0.0391780821917808
32.6;0.0390356164383562
32.7;0.0388931506849315
32.8;0.0387506849315069
32.9;0.0386082191780822
33;0.0384657534246575
33.1;0.0383232876712329
33.2;0.0381808219178082
33.3;0.0380383561643836
33.4;0.0378958904109589
33.5;0.0377534246575342
33.6;0.0376109589041096
33.7;0.0374684931506849
33.8;0.0373260273972603
33.9;0.0371835616438356
34;0.037041095890411
34.1;0.0368986301369863
34.2;0.0367561643835616
34.3;0.036613698630137
34.4;0.0364712328767123
34.5;0.0363287671232877
34.6;0.036186301369863
34.7;0.0360438356164383
34.8;0.0359013698630137
34.9;0.035758904109589
35;0.0356164383561644
35.1;0.0354739726027397
35.2;0.0353315068493151
35.3;0.0351890410958904
35.4;0.0350465753424658
35.5;0.0349041095890411
35.6;0.0347616438356164
35.7;0.0346191780821918
35.8;0.0344767123287671
35.9;0.0343342465753425
36;0.0341917808219178
36.1;0.0340493150684932
36.2;0.0339068493150685
36.3;0.0337643835616438
36.4;0.0336219178082192
36.5;0.0334794520547945
36.6;0.0333369863013699
36.7;0.0331945205479452
36.8;0.0330520547945206
36.9;0.0329095890410959
37;0.0327671232876712
37.1;0.0326246575342466
37.2;0.0324821917808219
37.3;0.0323397260273973
37.4;0.0321972602739726
37.5;0.0320547945205479
37.6;0.0319123287671233
37.7;0.0317698630136986
37.8;0.031627397260274
37.9;0.0314849315068493
38;0.0313424657534247
38.1;0.0312
38.2;0.0310575342465753
38.3;0.0309150684931507
38.4;0.030772602739726
38.5;0.0306301369863014
38.6;0.0304876712328767
38.7;0.0303452054794521
38.8;0.0302027397260274
38.9;0.0300602739726027
39;0.0299178082191781
39.1;0.0297753424657534
39.2;0.0296328767123288
39.3;0.0294904109589041
39.4;0.0293479452054795
39.5;0.0292054794520548
39.6;0.0290630136986301
39.7;0.0289205479452055
39.8;0.0287780821917808
39.9;0.0286356164383562
40;0.0284931506849315
40.1;0.0283506849315069
40.2;0.0282082191780822
40.3;0.0280657534246575
40.4;0.0279232876712329
40.5;0.0277808219178082
40.6;0.0276383561643836
40.7;0.0274958904109589
40.8;0.0273534246575342
40.9;0.0272109589041096
41;0.0270684931506849
41.1;0.0269260273972603
41.2;0.0267835616438356
41.3;0.026641095890411
41.4;0.0264986301369863
41.5;0.0263561643835616
41.6;0.026213698630137
41.7;0.0260712328767123
41.8;0.0259287671232877
41.9;0.025786301369863
42;0.0256438356164384
42.1;0.0255013698630137
42.2;0.025358904109589
42.3;0.0252164383561644
42.4;0.0250739726027397
42.5;0.0249315068493151
42.6;0.0247890410958904
42.7;0.0246465753424658
42.8;0.0245041095890411
42.9;0.0243616438356164
43;0.0242191780821918
43.1;0.0240767123287671
43.2;0.0239342465753425
43.3;0.0237917808219178
43.4;0.0236493150684931
43.5;0.0235068493150685
43.6;0.0233643835616438
43.7;0.0232219178082192
43.8;0.0230794520547945
43.9;0.0229369863013699
44;0.0227945205479452
44.1;0.0226520547945205
44.2;0.0225095890410959
44.3;0.0223671232876712
44.4;0.0222246575342466
