depth_m;temperature_degC
0;-11.50103
0.1;-11.27503
0.2;-11.43266
0.3;-11.66066
0.4;-11.88866
0.5;-12.11666
0.6;-12.34466
0.7;-12.57266
0.8;-12.80066
0.9;-13.02866
1;-13.25666
1.1;-13.48466
1.2;-13.55211
1.3;-13.59011
1.4;-13.62811
1.5;-13.66611
1.6;-13.70411
1.7;-13.74211
1.8;-13.78011
1.9;-13.81811
2;-13.85611
2.1;-13.89411
2.2;-13.905915
2.3;-13.912915
2.4;-13.919915
2.5;-13.926915
2.6;-13.933915
2.7;-13.940915
2.8;-13.947915
2.9;-13.954915
3;-13.961915
3.1;-13.968915
3.2;-13.9193
3.3;-13.8593
3.4;-13.7993
3.5;-13.7393
3.6;-13.6793
3.7;-13.6193
3.8;-13.5593
3.9;-13.4993
4;-13.4393
4.1;-13.3793
4.2;-13.330285
4.3;-13.283285
4.4;-13.236285
4.5;-13.189285
4.6;-13.142285
4.7;-13.095285
4.8;-13.048285
4.9;-13.001285
5;-12.954285
5.1;-12.907285
5.2;-12.748745
5.3;-12.569745
5.4;-12.390745
5.5;-12.211745
5.6;-12.032745
5.7;-11.853745
5.8;-11.674745
5.9;-11.495745
6;-11.316745
6.1;-11.137745
6.2;-11.1082593324611
6.3;-11.1061993708766
6.4;-11.1041394092921
6.5;-11.1020794477076
6.6;-11.1000194861231
6.7;-11.0979595245386
6.8;-11.0958995629541
6.9;-11.0938396013696
7;-11.0917796397851
7.1;-11.0897196782006
7.2;-11.0876597166161
7.3;-11.0855997550316
7.4;-11.0835397934471
7.5;-11.0814798318626
7.6;-11.0794198702781
7.7;-11.0773599086936
7.8;-11.0752999471091
7.9;-11.0732399855246
8;-11.0711800239401
8.1;-11.0691200623556
8.2;-11.0670601007711
8.3;-11.0650001391866
8.4;-11.0629401776021
8.5;-11.0608802160176
8.6;-11.0588202544331
8.7;-11.0567602928486
8.8;-11.0547003312641
8.9;-11.0526403696796
9;-11.0505804080951
9.1;-11.0485204465106
9.2;-11.0464604849261
9.3;-11.0444005233416
9.4;-11.0423405617571
9.5;-11.0402806001726
9.6;-11.0382206385881
9.7;-11.0361606770036
9.8;-11.0341007154191
9.9;-11.0320407538346
10;-11.0299807922501
10.1;-11.0279208306656
10.2;-11.0258608690811
10.3;-11.0238009074966
10.4;-11.0217409459121
10.5;-11.0196809843276
10.6;-11.0176210227431
10.7;-11.0155610611586
10.8;-11.0135010995741
10.9;-11.0114411379896
11;-11.0093811764051
11.1;-11.0073212148206
11.2;-11.0052612532361
11.3;-11.0032012916516
11.4;-11.0011413300671
11.5;-10.9990813684826
11.6;-10.9970214068981
11.7;-10.9949614453136
11.8;-10.9929014837291
11.9;-10.9908415221446
12;-10.9887815605601
12.1;-10.9867215989756
12.2;-10.9846616373911
12.3;-10.9826016758066
12.4;-10.9805417142221
12.5;-10.9784817526376
12.6;-10.9764217910531
12.7;-10.9743618294686
12.8;-10.9723018678841
12.9;-10.9702419062996
13;-10.9681819447151
13.1;-10.9661219831306
13.2;-10.9640620215461
13.3;-10.9620020599616
13.4;-10.9599420983771
13.5;-10.9578821367926
13.6;-10.9558221752081
13.7;-10.9537622136236
13.8;-10.9517022520391
13.9;-10.9496422904546
14;-10.9475823288701
14.1;-10.9455223672856
14.2;-10.9434624057011
14.3;-10.9414024441166
14.4;-10.9393424825321
14.5;-10.9372825209476
14.6;-10.9352225593631
14.7;-10.9331625977786
14.8;-10.9311026361941
14.9;-10.9290426746096
15;-10.9269827130251
15.1;-10.9249227514406
15.2;-10.9228627898561
15.3;-10.9208028282716
15.4;-10.9187428666871
15.5;-10.9166829051026
15.6;-10.9146229435181
15.7;-10.9125629819336
15.8;-10.9105030203491
15.9;-10.9084430587646
16;-10.9063830971801
16.1;-10.9043231355956
16.2;-10.9022631740111
16.3;-10.9002032124266
16.4;-10.8981432508421
16.5;-10.8960832892576
16.6;-10.8940233276731
16.7;-10.8919633660886
16.8;-10.8899034045041
16.9;-10.8878434429196
17;-10.8857834813351
17.1;-10.8837235197506
17.2;-10.8816635581661
17.3;-10.8796035965816
17.4;-10.8775436349971
17.5;-10.8754836734126
17.6;-10.8734237118281
17.7;-10.8713637502436
17.8;-10.8693037886591
17.9;-10.8672438270746
18;-10.8651838654901
18.1;-10.8631239039056
18.2;-10.8610639423211
18.3;-10.8590039807366
18.4;-10.8569440191521
18.5;-10.8548840575676
18.6;-10.8528240959831
18.7;-10.8507641343986
18.8;-10.8487041728141
18.9;-10.8466442112296
19;-10.8445842496451
19.1;-10.8425242880606
19.2;-10.8404643264761
19.3;-10.8384043648916
19.4;-10.8363444033071
19.5;-10.8342844417226
19.6;-10.8322244801381
19.7;-10.8301645185536
19.8;-10.8281045569691
19.9;-10.8260445953846
20;-10.8239846338001
20.1;-10.8219246722156
20.2;-10.8198647106311
20.3;-10.8178047490466
20.4;-10.8157447874621
20.5;-10.8136848258776
20.6;-10.8116248642931
20.7;-10.8095649027086
20.8;-10.8075049411241
20.9;-10.8054449795396
21;-10.8033850179551
21.1;-10.8013250563706
21.2;-10.7992650947861
21.3;-10.7972051332016
21.4;-10.7951451716171
21.5;-10.7930852100326
21.6;-10.7910252484481
21.7;-10.7889652868636
21.8;-10.7869053252791
21.9;-10.7848453636946
22;-10.7827854021101
22.1;-10.7807254405256
22.2;-10.7786654789411
22.3;-10.7766055173566
22.4;-10.7745455557721
22.5;-10.7724855941876
22.6;-10.7704256326031
22.7;-10.7683656710186
22.8;-10.7663057094341
22.9;-10.7642457478496
23;-10.7621857862651
23.1;-10.7601258246806
23.2;-10.7580658630961
23.3;-10.7560059015116
23.4;-10.7539459399271
23.5;-10.7518859783426
23.6;-10.7498260167581
23.7;-10.7477660551736
23.8;-10.7457060935891
23.9;-10.7436461320046
24;-10.7415861704201
24.1;-10.7395262088356
24.2;-10.7374662472511
24.3;-10.7354062856666
24.4;-10.7333463240821
24.5;-10.7312863624976
24.6;-10.7292264009131
24.7;-10.7271664393286
24.8;-10.7251064777441
24.9;-10.7230465161596
25;-10.7209865545751
25.1;-10.7189265929906
25.2;-10.7168666314061
25.3;-10.7148066698216
25.4;-10.7127467082371
25.5;-10.7106867466526
25.6;-10.7086267850681
25.7;-10.7065668234836
25.8;-10.7045068618991
25.9;-10.7024469003146
26;-10.7003869387301
26.1;-10.6983269771456
26.2;-10.6962670155611
26.3;-10.6942070539766
26.4;-10.6921470923921
26.5;-10.6900871308076
26.6;-10.6880271692231
26.7;-10.6859672076386
26.8;-10.6839072460541
26.9;-10.6818472844696
27;-10.6797873228851
27.1;-10.6777273613006
27.2;-10.6756673997161
27.3;-10.6736074381316
27.4;-10.6715474765471
27.5;-10.6694875149626
27.6;-10.6674275533781
27.7;-10.6653675917936
27.8;-10.6633076302091
27.9;-10.6612476686246
28;-10.6591877070401
28.1;-10.6571277454556
28.2;-10.6550677838711
28.3;-10.6530078222866
28.4;-10.6509478607021
28.5;-10.6488878991176
28.6;-10.6468279375331
28.7;-10.6447679759486
28.8;-10.6427080143641
28.9;-10.6406480527796
29;-10.6385880911951
29.1;-10.6365281296106
29.2;-10.6344681680261
29.3;-10.6324082064416
29.4;-10.6303482448571
29.5;-10.6282882832726
29.6;-10.6262283216881
29.7;-10.6241683601036
29.8;-10.6221083985191
29.9;-10.6200484369346
30;-10.6179884753501
30.1;-10.6159285137656
30.2;-10.6138685521811
30.3;-10.6118085905966
30.4;-10.6097486290121
30.5;-10.6076886674276
30.6;-10.6056287058431
30.7;-10.6035687442586
30.8;-10.6015087826741
30.9;-10.5994488210896
31;-10.5973888595051
31.1;-10.5953288979206
31.2;-10.5932689363361
31.3;-10.5912089747516
31.4;-10.5891490131671
31.5;-10.5870890515826
31.6;-10.5850290899981
31.7;-10.5829691284136
31.8;-10.5809091668291
31.9;-10.5788492052446
32;-10.5767892436601
32.1;-10.5747292820756
32.2;-10.572669320491
32.3;-10.5706093589066
32.4;-10.5685493973221
32.5;-10.5664894357375
32.6;-10.5644294741531
32.7;-10.5623695125685
32.8;-10.560309550984
32.9;-10.5582495893995
33;-10.556189627815
33.1;-10.5541296662305
33.2;-10.552069704646
33.3;-10.5500097430615
33.4;-10.547949781477
33.5;-10.5458898198925
33.6;-10.543829858308
33.7;-10.5417698967235
33.8;-10.539709935139
33.9;-10.5376499735545
34;-10.53559001197
34.1;-10.5335300503855
34.2;-10.531470088801
34.3;-10.5294101272165
34.4;-10.527350165632
34.5;-10.5252902040475
34.6;-10.523230242463
34.7;-10.5211702808785
34.8;-10.519110319294
34.9;-10.5170503577095
35;-10.514990396125
35.1;-10.5129304345405
35.2;-10.510870472956
35.3;-10.5088105113715
35.4;-10.506750549787
35.5;-10.5046905882025
35.6;-10.502630626618
35.7;-10.5005706650335
35.8;-10.498510703449
35.9;-10.4964507418645
36;-10.49439078028
36.1;-10.4923308186955
36.2;-10.490270857111
36.3;-10.4882108955265
36.4;-10.486150933942
36.5;-10.4840909723575
36.6;-10.482031010773
36.7;-10.4799710491885
36.8;-10.477911087604
36.9;-10.4758511260195
37;-10.473791164435
37.1;-10.4717312028505
37.2;-10.469671241266
37.3;-10.4676112796815
37.4;-10.465551318097
37.5;-10.4634913565125
37.6;-10.461431394928
37.7;-10.4593714333435
37.8;-10.457311471759
37.9;-10.4552515101745
38;-10.45319154859
38.1;-10.4511315870055
38.2;-10.449071625421
38.3;-10.4470116638365
38.4;-10.444951702252
38.5;-10.4428917406675
38.6;-10.440831779083
38.7;-10.4387718174985
38.8;-10.436711855914
38.9;-10.4346518943295
39;-10.432591932745
39.1;-10.4305319711605
39.2;-10.428472009576
39.3;-10.4264120479915
39.4;-10.424352086407
39.5;-10.4222921248225
39.6;-10.420232163238
39.7;-10.4181722016535
39.8;-10.416112240069
39.9;-10.4140522784845
40;-10.4119923169
40.1;-10.4099323553155
40.2;-10.407872393731
40.3;-10.4058124321465
40.4;-10.403752470562
40.5;-10.4016925089775
40.6;-10.399632547393
40.7;-10.3975725858085
40.8;-10.395512624224
40.9;-10.3934526626395
41;-10.391392701055
41.1;-10.3893327394705
41.2;-10.387272777886
41.3;-10.3852128163015
41.4;-10.383152854717
41.5;-10.3810928931325
41.6;-10.379032931548
41.7;-10.3769729699635
41.8;-10.374913008379
41.9;-10.3728530467945
42;-10.37079308521
42.1;-10.3687331236255
42.2;-10.366673162041
42.3;-10.3646132004565
42.4;-10.362553238872
42.5;-10.3604932772875
42.6;-10.358433315703
42.7;-10.3563733541185
42.8;-10.354313392534
42.9;-10.3522534309495
43;-10.350193469365
43.1;-10.3481335077805
43.2;-10.346073546196
43.3;-10.3440135846115
43.4;-10.341953623027
43.5;-10.3398936614425
43.6;-10.337833699858
43.7;-10.3357737382735
43.8;-10.333713776689
43.9;-10.3316538151045
44;-10.32959385352
44.1;-10.3275338919355
44.2;-10.325473930351
44.3;-10.3234139687665
44.4;-10.321354007182
44.5;-10.3192940455975
44.6;-10.317234084013
44.7;-10.3151741224285
44.8;-10.313114160844
44.9;-10.3110541992595
45;-10.308994237675
45.1;-10.3069342760905
45.2;-10.304874314506
45.3;-10.3028143529215
45.4;-10.300754391337
45.5;-10.2986944297525
45.6;-10.296634468168
45.7;-10.2945745065835
45.8;-10.292514544999
45.9;-10.2904545834145
46;-10.28839462183
46.1;-10.2863346602455
46.2;-10.284274698661
46.3;-10.2822147370765
46.4;-10.280154775492
46.5;-10.2780948139075
46.6;-10.276034852323
46.7;-10.2739748907385
46.8;-10.271914929154
46.9;-10.2698549675695
47;-10.267795005985
47.1;-10.2657350444005
47.2;-10.263675082816
47.3;-10.2616151212315
47.4;-10.259555159647
47.5;-10.2574951980625
47.6;-10.255435236478
47.7;-10.2533752748935
47.8;-10.251315313309
47.9;-10.2492553517245
48;-10.24719539014
48.1;-10.2451354285555
48.2;-10.243075466971
48.3;-10.2410155053865
48.4;-10.238955543802
48.5;-10.2368955822175
48.6;-10.234835620633
48.7;-10.2327756590485
48.8;-10.230715697464
48.9;-10.2286557358795
49;-10.226595774295
49.1;-10.2245358127105
49.2;-10.222475851126
49.3;-10.2204158895415
49.4;-10.218355927957
49.5;-10.2162959663725
