depth_m;temperature_degC
0;-17.80107336
0.1;-22.75553668
0.2;-22.94403548
0.3;-23.13253428
0.4;-23.32103308
0.5;-23.50953188
0.6;-23.69803068
0.7;-23.88652948
0.8;-24.07502828
0.9;-24.26352708
1;-24.45202588
1.1;-24.64052468
1.2;-24.76152388
1.3;-24.88252308
1.4;-25.00352228
1.5;-25.12452148
1.6;-25.24552068
1.7;-25.36651988
1.8;-25.44418508
1.9;-25.52185028
2;-25.59716765
2.1;-25.64567085
2.2;-25.64867845
2.3;-25.65168605
2.4;-25.65351427
2.5;-25.64187301
2.6;-25.63023175
2.7;-25.6185905
2.8;-25.60694924
2.9;-25.59530798
3;-25.58366672
3.1;-25.57159416
3.2;-25.52909216
3.3;-25.48659016
3.4;-25.44408816
3.5;-25.40158616
3.6;-25.35908416
3.7;-25.31658216
3.8;-25.27408016
3.9;-25.23157816
4;-25.18907616
4.1;-25.14689653
4.2;-25.09339693
4.3;-25.03989733
4.4;-24.98639773
4.5;-24.93289813
4.6;-24.87939853
4.7;-24.82589893
4.8;-24.77239933
4.9;-24.71889973
5;-24.66540013
5.1;-24.61282623
5.2;-24.57482623
5.3;-24.53682623
5.4;-24.49882623
5.5;-24.46082623
5.6;-24.42282623
5.7;-24.38482623
5.8;-24.34682623
5.9;-24.30882623
6;-24.27082623
6.1;-24.23298725
6.2;-24.19248725
6.3;-24.15198725
6.4;-24.11148725
6.5;-24.07098725
6.6;-24.03048725
6.7;-23.98998725
6.8;-23.94948725
6.9;-23.91172459
7;-23.90522459
7.1;-23.89872459
7.2;-23.89622459
7.3;-23.89372459
7.4;-23.89122459
7.5;-23.88872459
7.6;-23.88622459
7.7;-23.88372459
7.8;-23.88122459
7.9;-23.87776213
8;-23.86330758
8.1;-23.84885304
8.2;-23.84289849
8.3;-23.83694395
8.4;-23.8309894
8.5;-23.82503486
8.6;-23.81908031
8.7;-23.81312577
8.8;-23.80717122
8.9;-23.80121668
9;-23.79526213
9.1;-23.78930758
9.2;-23.7861664
9.3;-23.78302521
9.4;-23.77988403
9.5;-23.77674284
9.6;-23.77360165
9.7;-23.77046047
9.8;-23.76731928
9.9;-23.7641781
10;-23.76103691
10.1;-23.75810698
10.2;-23.75758973
10.3;-23.75707248
