depth_m;temperature_degC
0;NaN
0.1;-27.61
0.2;-27.8869976
0.3;-28.1639952
0.4;-28.4409928
0.5;-28.7179904
0.6;-28.994988
0.7;-29.2719856
0.8;-29.5489832
0.9;-29.8259808
1;-30.1029784
1.1;-30.379976
1.2;-30.5219744
1.3;-30.6639728
1.4;-30.8059712
1.5;-30.9479696
1.6;-31.089968
1.7;-31.2319664
1.8;-31.3739648
1.9;-31.5159632
2;-31.6579616
2.1;-31.79996
2.2;-31.8509672
2.3;-31.9019744
2.4;-31.9529816
2.5;-32.0039888
2.6;-32.054996
2.7;-32.1060032
2.8;-32.1570104
2.9;-32.2080176
3;-32.2590248
3.1;-32.310032
3.2;-32.310032
3.3;-32.310032
3.4;-32.310032
3.5;-32.310032
3.6;-32.310032
3.7;-32.310032
3.8;-32.310032
3.9;-32.310032
4;-32.310032
4.1;-32.310032
4.2;-32.2800288
4.3;-32.2500256
4.4;-32.2200224
4.5;-32.1900192
4.6;-32.160016
4.7;-32.1300128
4.8;-32.1000096
4.9;-32.0700064
5;-32.0400032
5.1;-32.01
5.2;-31.988
5.3;-31.966
5.4;-31.944
5.5;-31.922
5.6;-31.9
5.7;-31.878
5.8;-31.856
5.9;-31.834
6;-31.812
6.1;-31.79
6.2;-31.759
6.3;-31.728
6.4;-31.697
6.5;-31.666
6.6;-31.635
6.7;-31.604
6.8;-31.573
6.9;-31.542
7;-31.511
7.1;-31.48
7.2;-31.457
7.3;-31.434
7.4;-31.411
7.5;-31.388
7.6;-31.365
7.7;-31.342
7.8;-31.319
7.9;-31.296
8;-31.273
8.1;-31.25
8.2;-31.244
8.3;-31.238
8.4;-31.232
8.5;-31.226
8.6;-31.22
8.7;-31.214
8.8;-31.208
8.9;-31.202
9;-31.196
9.1;-31.19
9.2;-31.189626719057
9.3;-31.1892534381139
9.4;-31.1888801571709
9.5;-31.1885068762279
9.6;-31.1881335952849
9.7;-31.1877603143418
9.8;-31.1873870333988
9.9;-31.1870137524558
10;-31.1866404715128
10.1;-31.1862671905697
10.2;-31.1858939096267
10.3;-31.1855206286837
10.4;-31.1851473477407
10.5;-31.1847740667976
10.6;-31.1844007858546
10.7;-31.1840275049116
10.8;-31.1836542239686
10.9;-31.1832809430255
11;-31.1829076620825
11.1;-31.1825343811395
11.2;-31.1821611001965
11.3;-31.1817878192534
11.4;-31.1814145383104
11.5;-31.1810412573674
11.6;-31.1806679764244
11.7;-31.1802946954813
11.8;-31.1799214145383
11.9;-31.1795481335953
12;-31.1791748526523
12.1;-31.1788015717092
12.2;-31.1784282907662
12.3;-31.1780550098232
12.4;-31.1776817288802
12.5;-31.1773084479371
12.6;-31.1769351669941
12.7;-31.1765618860511
12.8;-31.1761886051081
12.9;-31.175815324165
13;-31.175442043222
13.1;-31.175068762279
13.2;-31.174695481336
13.3;-31.1743222003929
13.4;-31.1739489194499
13.5;-31.1735756385069
13.6;-31.1732023575639
13.7;-31.1728290766208
13.8;-31.1724557956778
13.9;-31.1720825147348
14;-31.1717092337917
14.1;-31.1713359528487
14.2;-31.1709626719057
14.3;-31.1705893909627
14.4;-31.1702161100196
14.5;-31.1698428290766
14.6;-31.1694695481336
14.7;-31.1690962671906
14.8;-31.1687229862475
14.9;-31.1683497053045
15;-31.1679764243615
15.1;-31.1676031434185
15.2;-31.1672298624754
15.3;-31.1668565815324
15.4;-31.1664833005894
15.5;-31.1661100196464
15.6;-31.1657367387033
15.7;-31.1653634577603
15.8;-31.1649901768173
15.9;-31.1646168958743
16;-31.1642436149312
16.1;-31.1638703339882
16.2;-31.1634970530452
16.3;-31.1631237721022
16.4;-31.1627504911591
16.5;-31.1623772102161
16.6;-31.1620039292731
16.7;-31.1616306483301
16.8;-31.161257367387
16.9;-31.160884086444
17;-31.160510805501
