Year	MonthOfYear	DayOfMonth	HourOfDayUTC	DayOfYear	DayOfCentury	AirPressurehPa	AirTemperatureC	AirTemperatureHygroClipC	RelativeHumidity_wrtWater	RelativeHumidity	WindSpeedms	WindDirectiond	ShortwaveRadiationDownWm2	ShortwaveRadiationDown_CorWm2	ShortwaveRadiationUpWm2	ShortwaveRadiationUp_CorWm2	Albedo_theta70d	LongwaveRadiationDownWm2	LongwaveRadiationUpWm2	CloudCover	SurfaceTemperatureC	HeightSensorBoomm	HeightStakesm	DepthPressureTransducerm	DepthPressureTransducer_Corm	IceTemperature1C	IceTemperature2C	IceTemperature3C	IceTemperature4C	IceTemperature5C	IceTemperature6C	IceTemperature7C	IceTemperature8C	TiltToEastd	TiltToNorthd	TimeGPShhmmssUTC	LatitudeGPSddmm	LongitudeGPSddmm	ElevationGPSm	HorDilOfPrecGPS	LoggerTemperatureC	FanCurrentmA	BatteryVoltageV	time	HeightSensorBoomm_raw	SurfaceHeightm	DepthThermistor1m	DepthThermistor2m	DepthThermistor3m	DepthThermistor4m	DepthThermistor5m	DepthThermistor6m	DepthThermistor7m	DepthThermistor8m
2009	4	4	0	94	3382	801.54	-16.857	-999	-999	80.74	8.7608	-999	-999	0	-999	0	-999	191.66	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	2.186	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	1	94	3382	801.43	-17.471	-999	-999	80.191	9.352	-999	-999	0	-999	0	-999	190.98	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	2	94	3382	801.13	-18.002	-999	-999	80.123	9.3842	-999	-999	0	-999	0	-999	184.53	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	3	94	3382	801.09	-18.97	-999	-999	80.74	9.1585	-999	-999	0	-999	0	-999	182.75	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	4	94	3382	800.86	-19.844	-999	-999	82.248	9.6207	-999	-999	0	-999	0	-999	182.07	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	5	94	3382	800.56	-18.98	-999	-999	81.288	9.4272	-999	-999	0	-999	0	-999	183.09	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	6	94	3382	800.59	-19.074	-999	-999	83.208	9.5992	-999	-999	0	-999	0	-999	183.09	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	7	94	3382	800.77	-20.989	-999	-999	86.293	9.2875	-999	-999	0	-999	0	-999	181.56	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	8	94	3382	800.91	-21.281	-999	-999	85.95	9.3842	-999	-999	19.714	-999	15.771	-999	181.39	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	9	94	3382	801.1	-20.729	-999	-999	85.196	7.9975	-999	-999	103.37	-999	82.697	-999	179.53	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	10	94	3382	801.07	-20.177	-999	-999	83.962	8.4705	-999	-999	224.11	-999	179.29	-999	179.36	205.9	-999	-999	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0	0	0	0.41	1.41	2.41	3.41	4.41	7.41
2009	4	4	11	94	3382	801.14	-19.855	-999	-999	83.071	8.4168	-999	-999	344.54	-999	275.63	-999	179.87	205.9	-999	-999	0	-0.0005	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.0005	0	0	0.4105	1.4105	2.4105	3.4105	4.4105	7.4105
2009	4	4	12	94	3382	801.17	-18.491	-999	-999	81.563	5.6757	-999	-999	448.52	-999	358.82	-999	177.75	205.9	-999	-999	0	-0.001	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.001	0	0	0.411	1.411	2.411	3.411	4.411	7.411
2009	4	4	13	94	3382	801.12	-15.858	-999	-999	77.723	6.6646	-999	-999	534.43	-999	427.54	-999	180.63	205.9	-999	-999	0	-0.0015	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.0015	0	0	0.4115	1.4115	2.4115	3.4115	4.4115	7.4115
